# Dominican republic Mencia pasture succession and Aceitillar morphometic data,,,,,,,,
"# Original file ""Mencia body cond site pers indivs.xls"" was received from Steve Latta via meail and saved as a workding  .csv file on 2/5/2018.
",,,,,,,,
"# Original .xls file password proteted; password = ""final""  all lower case",,,,,,,,
"# This file only contains wing and mass data for ""site persistent"" individuals as scored by SL latta",,,,,,,,
"# See  file ""All Mencia B.xls"" for SL's original site persistence data (capture histories in wide formake",,,,,,,,
# Files processed by Nathan Brouwer in R for re-submission of manuscript 2/5/2018,,,,,,,,
# Note that morphometic data occurs in other spreadsheets but usually not all years are available; this also include Mencia AND Aceitillliar,,,,,,,,
spp.code,age,sex,site,date.cap.org,wing,tarsus,mass,site.age
BANA,HY,,Caoba,15-Nov-04,52.5,15.7,8.2,5yr
BANA,HY,,Caoba,15-Nov-05,54.5,16,8.4,5yr
BANA,AHY,,Caoba,14-Jan-07,50,15.4,8.1,5yr
BANA,AHY,,Caoba,18-Feb-07,51.5,15.6,8.3,5yr
BANA,HY,,Caoba,10-Nov-03,54.5,16.5,8.8,5yr
BANA,AHY,,Caoba,8-Jan-05,53,14.9,8,5yr
BANA,AHY,,Caoba,14-Jan-07,55,15.9,8.6,5yr
BANA,HY,,Caoba,21-Feb-04,52.5,15.3,8.3,5yr
BANA,AHY,,Caoba,10-Jan-05,53.5,15.8,8.7,5yr
BANA,AHY,,Caoba,14-Jan-07,51.5,15,8.3,5yr
BANA,HY,,Caoba,11-Nov-03,56,16.7,9.3,5yr
BANA,AHY,,Caoba,8-Feb-05,55,16.5,9.3,5yr
BANA,AHY,,Caoba,9-Jan-05,48.5,15.1,8.6,5yr
BANA,AHY,,Caoba,16-Dec-05,53,15,8.8,5yr
BANA,AHY,,Caoba,11-Jan-05,53.5,15,9.6,5yr
BANA,AHY,,Corral,22-Feb-06,51,15.2,6.4,20yr
BANA,HY,,Corral,19-Jan-05,51.5,15.2,6.6,20yr
BANA,AHY,,Corral,21-Nov-04,56,16.5,7.3,20yr
BANA,AHY,,Corral,22-Jan-07,51,14.9,6.6,20yr
BANA,AHY,,Corral,19-Jan-05,51.5,15.5,6.9,20yr
BANA,AHY,,Corral,23-Jan-07,53.5,15.7,7,20yr
BANA,HY,,Corral,10-Jan-04,54,16.4,7.4,20yr
BANA,AHY,,Corral,23-Feb-06,50,15.6,7.1,20yr
BANA,AHY,,Corral,20-Feb-05,51,15.7,7.2,20yr
BANA,HY,,Corral,1-Mar-07,53,15.8,7.3,20yr
BANA,AHY,,Corral,23-Nov-04,52,15.3,7.1,20yr
BANA,HY,,Corral,22-Nov-05,51,15,7,20yr
