# Dominican republic Mencia pasture succession and Aceitillar morphometic data,,,,,,,,
"# Original file ""Mencia body cond site pers indivs.xls"" was received from Steve Latta via meail and saved as a workding  .csv file on 2/5/2018.
",,,,,,,,
"# Original .xls file password proteted; password = ""final""  all lower case",,,,,,,,
"# This file only contains wing and mass data for ""site persistent"" individuals as scored by SL latta",,,,,,,,
"# See  file ""All Mencia B.xls"" for SL's original site persistence data (capture histories in wide formake",,,,,,,,
# Files processed by Nathan Brouwer in R for re-submission of manuscript 2/5/2018,,,,,,,,
# Note that morphometic data occurs in other spreadsheets but usually not all years are available; this also include Mencia AND Aceitillliar,,,,,,,,
spp.code,age,sex,site,date.cap.org,wing,tarsus,mass,site.age
BANA,AHY,,Morelia,19-Jan-06,51.5,15.4,7.9,10yr
BANA,HY,,Morelia,12-Jan-05,54,16.3,8.4,10yr
BANA,HY,,Morelia,8-Jan-04,49,15.9,8.2,10yr
BANA,AHY,,Morelia,16-Jan-05,53.5,15.1,7.8,10yr
BANA,AHY,,Morelia,18-Nov-04,54,15.2,7.9,10yr
BANA,AHY,,Morelia,15-Jan-05,53,15,7.8,10yr
BANA,AHY,,Morelia,15-Jan-05,51,15.3,8,10yr
BANA,AHY,,Morelia,17-Nov-04,54.5,15.4,8.1,10yr
BANA,HY,,Morelia,12-Jan-05,54.5,16.3,8.6,10yr
BANA,AHY,,Morelia,17-Jan-07,57,16.3,8.6,10yr
BANA,AHY,,Morelia,13-Jan-05,55,15.5,8.2,10yr
BANA,HY,,Morelia,12-Feb-05,53,15.2,8.1,10yr
BANA,AHY,,Morelia,21-Nov-03,54,15.9,8.5,10yr
BANA,AHY,,Morelia,19-Jan-06,53,15.5,8.3,10yr
BANA,AHY,,Morelia,19-Jan-07,48.5,14.5,7.8,10yr
BANA,AHY,,Morelia,14-Jan-05,53.5,14.7,8,10yr
BANA,HY,,Morelia,30-Nov-06,50.5,15.4,8.4,10yr
BANA,HY,,Morelia,24-Feb-04,52.5,15.3,8.8,10yr
BANA,AHY,,Morelia,14-Jan-05,56,16.1,9.3,10yr
BANA,AHY,,Morelia,16-Feb-05,55,16.1,9.6,10yr
BANA,AHY,,Aceitillar,1/23/1996,51.5,16.9,5.9,mature
BANA,HY,,Aceitillar,1/23/1996,52.5,18.1,7.3,mature
BANA,AHY,,Aceitillar,1/23/1996,50.5,17.1,7.1,mature
BANA,AHY,,Aceitillar,1/23/1996,55,17.1,6.6,mature
BANA,AHY,,Aceitillar,1/24/1996,55.9,17.5,7.8,mature
BANA,HY,,Aceitillar,1/24/1996,53.5,17.2,7,mature
BANA,AHY,,Aceitillar,1/24/1996,52.5,17.7,7.7,mature
BANA,AHY,,Aceitillar,1/24/1996,54.5,,6.9,mature
BANA,AHY,,Aceitillar,1/24/1996,55,17.6,6.5,mature
BANA,AHY,,Aceitillar,1/24/1996,58,18.2,7.9,mature
BANA,AHY,,Aceitillar,1/24/1996,55,15.9,6.7,mature
BANA,AHY,,Aceitillar,1/25/1996,51,16.7,7.4,mature
BANA,AHY,,Aceitillar,1/25/1996,52.5,17.5,7.7,mature
BANA,AHY,,Aceitillar,1/25/1996,53.5,16.8,7.1,mature
BANA,AHY,,Aceitillar,1/25/1996,57,17.3,7.6,mature
BANA,HY,,Aceitillar,1/25/1996,50.5,18.6,7.1,mature
BANA,AHY,,Aceitillar,1/25/1996,54,17.5,6.5,mature
BANA,AHY,,Aceitillar,1/26/1996,55,18.1/15.9,7.6,mature
BANA,AHY,,Aceitillar,1/16/1995,55,,7.9,mature
BANA,AHY,,Aceitillar,1/16/1995,53,,6.7,mature
BANA,AHY,,Aceitillar,1/16/1995,58,,8.2,mature
BANA,AHY,,Aceitillar,1/16/1995,51.5,,8.7,mature
BANA,AHY,,Aceitillar,1/16/1995,53.5,,8,mature
BANA,HY,,Aceitillar,1/16/1995,51.5,,6.3,mature
BANA,AHY,,Aceitillar,1/17/1995,52,,8.2,mature
BANA,AHY,,Aceitillar,1/17/1995,55.5,,7.7,mature
BANA,HY,,Aceitillar,1/17/1995,52.5,,7,mature
BANA,HY,,Aceitillar,1/17/1995,53.5,,6.3,mature
BANA,AHY,,Aceitillar,1/18/1995,52,,6.5,mature
BANA,AHY,,Aceitillar,31-Jan-97,56.5,,6.5,mature
BANA,AHY,,Aceitillar,1-Feb-97,55,,7.4,mature
BANA,AHY,,Aceitillar,1/22/1996,53,17.2,9.3,mature
BANA,AHY,,Aceitillar,1/22/1996,57.5,18,7.9,mature
BANA,AHY,,Aceitillar,1/23/1996,54.5,17.3,7.7,mature
BANA,AHY,,Aceitillar,1/16/1995,55.5,,7.7,mature
BANA,AHY,,Aceitillar,1/16/1995,56,,7,mature
BANA,AHY,,Aceitillar,1/17/1995,66,,7.5,mature
BANA,AHY,,Aceitillar,1/17/1995,51.5,,6.4,mature
BANA,HY,,Aceitillar,1/17/1995,54,,7.6,mature
BANA,AHY,,Aceitillar,1/17/1995,52.5,,7.8,mature
BANA,AHY,,Aceitillar,1/17/1995,55,,8.1,mature
BANA,AHY,,Aceitillar,1/17/1995,55.5,,8.1,mature
BANA,HY,,Aceitillar,1/17/1995,51,,7.4,mature
BANA,AHY,,Aceitillar,1/17/1995,56,,8.3,mature
BANA,AHY,,Aceitillar,2-Feb-97,57,,8,mature
BANA,AHY,,Aceitillar,2-Feb-97,58.5,,7.2,mature
BANA,AHY,,Aceitillar,2-Feb-97,54,,7.4,mature
BANA,AHY,,Aceitillar,2-Feb-97,49,,7,mature
BANA,AHY,,Aceitillar,2-Feb-97,49.5,,6.7,mature
BANA,AHY,,Aceitillar,3-Feb-97,52,,6.9,mature
BANA,AHY,,Aceitillar,3-Feb-97,56.5,,7.2,mature
BANA,AHY,,Aceitillar,3-Feb-97,53.5,,8,mature
BANA,AHY,,Aceitillar,3-Feb-97,55,,7.7,mature
BANA,AHY,,Aceitillar,3-Feb-97,53.5,,7.8,mature
BANA,AHY,,Aceitillar,3-Feb-97,51,,6.1,mature
BANA,HY,,Aceitillar,30-Jan-97,55,,8,mature
BANA,AHY,,Aceitillar,30-Jan-97,49.5,,6.6,mature
BANA,AHY,,Aceitillar,31-Jan-97,57,,8,mature
BANA,AHY,,Aceitillar,31-Jan-97,56,,7.3,mature
BANA,AHY,,Aceitillar,1-Feb-97,56.5,,8,mature
BANA,AHY,,Aceitillar,1-Feb-97,56,,7.5,mature
BANA,AHY,,Aceitillar,1-Feb-97,53.5,,7.2,mature
BANA,AHY,,Aceitillar,1-Feb-97,53.5,,8,mature
BANA,AHY,,Aceitillar,1-Feb-97,55.9,,8.1,mature
BANA,AHY,,Aceitillar,1-Feb-97,52.5,,8.2,mature
BANA,AHY,,Aceitillar,2-Feb-97,53,,6.7,mature
BANA,AHY,,Aceitillar,2-Feb-97,52.5,,7.3,mature
BANA,AHY,,Aceitillar,2-Feb-97,56.5,,8.2,mature
BANA,AHY,,Aceitillar,2-Feb-97,50.5,,7.1,mature
BANA,AHY,,Aceitillar,2-Feb-97,53,,7,mature
BANA,AHY,,Aceitillar,2-Feb-97,56,,7.6,mature
BAWW,AHY,F,Aceitillar,111496,65.5,16.8,9.9,mature
BAWW,HY,F,Aceitillar,111596,65,18.2,10.2,mature
BAWW,HY,F,Aceitillar,111996,65,18.3,9.9,mature
BAWW,AHY,F,Aceitillar,15-Jan-94,67.5,20,8.7,mature
BAWW,HY,F,Aceitillar,16-Jan-94,64,19.3,8.3,mature
BAWW,AHY,F,Aceitillar,16-Jan-94,68,19.2,9.5,mature
BAWW,AHY,F,Aceitillar,17-Jan-94,65,19.5,10.1,mature
BAWW,AHY,F,Aceitillar,21-Jan-94,67.5,19.8,9,mature
BAWW,HY,F,Aceitillar,21-Jan-94,66.5,20,9,mature
BAWW,HY,F,Aceitillar,21-Jan-94,64,18.6,7.7,mature
BAWW,HY,F,Aceitillar,22-Jan-94,66,19.7,9.3,mature
BAWW,AHY,F,Aceitillar,112096,69,18.8,9.1,mature
BAWW,AHY,F,Aceitillar,112096,67,19.4,11.1,mature
BAWW,AHY,F,Aceitillar,10-Nov-93,66,,8.6,mature
BAWW,HY,F,Aceitillar,11-Nov-93,66,19.9,9.3,mature
BAWW,AHY,F,Aceitillar,2-Mar-94,67,18.8,9.2,mature
BAWW,HY,F,Aceitillar,31-Jan-97,66,,9.5,mature
BAWW,AHY,F,Aceitillar,31-Jan-97,67,,9.3,mature
BAWW,AHY,F,Aceitillar,2-Feb-97,67.5,,8.7,mature
BAWW,AHY,F,Aceitillar,12497,68,20.2,10.5,mature
BAWW,HY,F,Aceitillar,30697,67.5,19.9,9.7,mature
BAWW,AHY,F,Aceitillar,30697,65,19.7,10.4,mature
BAWW,AHY,F,Aceitillar,30697,65,19.8,9.3,mature
BAWW,AHY,F,Aceitillar,31097,67.5,19.6,9.4,mature
BAWW,HY,F,Aceitillar,31197,65,19,9.7,mature
BAWW,AHY,F,Aceitillar,31297,64,19.7,9.5,mature
BAWW,AHY,M,Aceitillar,111696,70,17.8,9.8,mature
BAWW,HY,M,Aceitillar,8-Mar-94,71,19.9,9.5,mature
BAWW,AHY,M,Aceitillar,112096,67,19.2,9.8,mature
BAWW,HY,M,Aceitillar,112096,70.5,,9.7,mature
BAWW,HY,M,Aceitillar,112096,68,,9.3,mature
BAWW,HY,M,Aceitillar,9-Nov-93,72,18.8,9.6,mature
BAWW,HY,M,Aceitillar,9-Nov-93,70,19.4,10.1,mature
BAWW,HY,M,Aceitillar,9-Nov-93,69,19,10.2,mature
BAWW,HY,M,Aceitillar,3-Mar-94,70,19.8,9.4,mature
BAWW,HY,M,Aceitillar,1/27/1995,65,,9.4,mature
BAWW,HY,M,Aceitillar,1/25/1996,69,18.9,9.3,mature
BAWW,HY,M,Aceitillar,1/25/1996,70,19.6,9.4,mature
BAWW,AHY,M,Aceitillar,31-Jan-97,72,17.8,10,mature
BAWW,AHY,M,Aceitillar,2-Feb-97,71,16.6,8.5,mature
BAWW,HY,M,Aceitillar,12097,71.5,18,10.5,mature
BAWW,HY,M,Aceitillar,12597,70,18.7,10.3,mature
BAWW,HY,M,Aceitillar,12597,69.5,20.3,10.1,mature
BAWW,HY,M,Aceitillar,12597,71,17,9.4,mature
BAWW,HY,M,Aceitillar,12697,69,16.9,9.5,mature
BAWW,AHY,M,Aceitillar,31097,69,19.4,10.6,mature
BAWW,AHY,M,Aceitillar,31297,68,20.3,10.4,mature
BAWW,HY,F,Caoba,21-Feb-07,65.5,17.8,9,5yr
BAWW,HY,M,Caoba,27-Nov-06,71.5,16.9,9,5yr
BAWW,AHY,M,Caoba,14-Jan-07,70.5,15.6,8.6,5yr
BAWW,AHY,M,Caoba,12-Feb-05,66,16.9,10,5yr
BAWW,AHY,F,Corral,23-Jan-07,66.5,17.2,8.5,20yr
BAWW,AHY,F,Corral,13-Nov-03,67.5,18.1,9.7,20yr
BAWW,HY,F,Corral,26-Jan-06,63.5,16.5,8.9,20yr
BAWW,HY,F,Corral,24-Dec-05,65.5,17.8,9.8,20yr
BAWW,AHY,F,Corral,3-Dec-06,63.5,17.5,9.8,20yr
BAWW,AHY,F,Corral,20-Jan-05,69.5,17.7,10,20yr
BAWW,HY,F,Corral,24-Nov-05,64,17.4,10,20yr
BAWW,AHY,F,Corral,20-Jan-05,66.5,17.1,9.9,20yr
BAWW,AHY,F,Corral,6-Dec-06,66,16,9.5,20yr
BAWW,AHY,F,Corral,19-Feb-05,65.5,17.3,12.7,20yr
BAWW,HY,M,Corral,26-Dec-05,70.5,16.6,9.3,20yr
BAWW,HY,M,Corral,13-Nov-03,64,17.1,9.9,20yr
BAWW,HY,M,Corral,24-Dec-05,67.5,17.2,10.3,20yr
BAWW,AHY,M,Corral,18-Feb-05,69.5,16.8,10.3,20yr
BAWW,HY,F,Cueva,22-Nov-06,64.5,17.1,9,2yr
BAWW,HY,F,Cueva,15-Dec-05,69,17.4,9.8,2yr
BAWW,HY,M,Cueva,8-Nov-04,67,17.2,9.6,2yr
BAWW,HY,M,Cueva,22-Nov-06,61.5,16.2,9.5,2yr
BAWW,AHY,F,Morelia,19-Nov-05,65.5,17.6,8.6,10yr
BAWW,HY,F,Morelia,19-Jan-07,64.5,16.8,8.8,10yr
BAWW,AHY,F,Morelia,23-Nov-03,64,16.7,8.9,10yr
BAWW,AHY,F,Morelia,18-Nov-04,69,16.9,9.4,10yr
BAWW,AHY,F,Morelia,29-Nov-06,68,16.8,9.8,10yr
BAWW,AHY,F,Morelia,12-Feb-05,63.5,16.3,9.6,10yr
BAWW,AHY,M,Morelia,29-Nov-06,67.5,17.3,9.1,10yr
BAWW,HY,M,Morelia,28-Nov-06,68,17.1,9.1,10yr
BAWW,AHY,M,Morelia,29-Nov-06,68.5,17.6,9.9,10yr
BAWW,AHY,M,Morelia,17-Nov-04,68.5,17.3,9.9,10yr
BAWW,HY,,Morelia,21-Nov-03,69,16.8,10.6,10yr
BCPT,HY,,Caoba,15-Nov-04,80,23.2,24.5,5yr
BCPT,SY,,Caoba,18-Feb-06,79.5,23.8,25.2,5yr
BCPT,HY,,Caoba,14-Nov-05,83,24,25.8,5yr
BCPT,HY,,Caoba,9-Jan-05,82.5,23.1,25.1,5yr
BCPT,AHY,,Caoba,7-Jan-04,93,23.2,25.5,5yr
BCPT,HY,,Caoba,17-Feb-06,85.5,24.3,27,5yr
BCPT,AHY,,Caoba,18-Nov-05,88.5,23.5,26.2,5yr
BCPT,AHY,,Caoba,15-Nov-04,89.5,22.7,25.4,5yr
BCPT,HY,,Caoba,14-Nov-05,82,23,25.8,5yr
BCPT,HY,,Caoba,15-Nov-05,83,24.1,27.1,5yr
BCPT,HY,,Caoba,5-Jan-04,83.5,23.1,26,5yr
BCPT,AHY,,Caoba,11-Nov-03,89.5,23.3,26.5,5yr
BCPT,HY,,Caoba,14-Nov-05,81,23,26.2,5yr
BCPT,AHY,,Caoba,17-Feb-06,83,22.1,25.2,5yr
BCPT,AHY,,Caoba,7-Jan-04,93,23.9,27.3,5yr
BCPT,AHY,,Caoba,28-Nov-06,90.5,22.9,26.3,5yr
BCPT,HY,,Caoba,22-Feb-04,85.5,24.2,27.8,5yr
BCPT,HY,,Caoba,11-Nov-03,81,23.9,27.6,5yr
BCPT,HY,,Caoba,18-Nov-05,85,22.2,25.9,5yr
BCPT,AHY,,Caoba,15-Nov-04,83.5,21.3,24.9,5yr
BCPT,HY,,Caoba,8-Feb-05,83.5,23.1,27.1,5yr
BCPT,AHY,,Caoba,18-Feb-06,87,23.7,28,5yr
BCPT,HY,,Caoba,16-Dec-05,83.5,23.6,27.9,5yr
BCPT,HY,,Caoba,11-Feb-05,85,22.5,26.7,5yr
BCPT,HY,,Caoba,28-Nov-06,85.5,23.5,28,5yr
BCPT,HY,,Caoba,15-Jan-07,80,23.5,28,5yr
BCPT,HY,,Caoba,16-Nov-04,83,23.8,28.4,5yr
BCPT,AHY,,Caoba,6-Jan-04,86.5,23.7,28.4,5yr
BCPT,AHY,,Caoba,15-Jan-07,84,22.8,27.4,5yr
BCPT,HY,,Caoba,11-Nov-03,85,24,29.3,5yr
BCPT,HY,,Caoba,13-Nov-04,84.5,23.8,29.1,5yr
BCPT,HY,,Caoba,14-Jan-07,83.5,23.6,29.2,5yr
BCPT,HY,,Caoba,26-Nov-06,85,23.3,29.3,5yr
BCPT,AHY,,Caoba,11-Nov-03,85.5,21.3,26.9,5yr
BCPT,HY,,Caoba,17-Nov-05,86,23.9,30.2,5yr
BCPT,HY,,Caoba,10-Feb-05,85.5,23.8,30.2,5yr
BCPT,HY,,Caoba,10-Nov-03,83,23.9,30.5,5yr
BCPT,HY,,Corral,11-Jan-04,85,24.3,25.7,20yr
BCPT,HY,,Corral,25-Nov-05,81.5,22.8,24.3,20yr
BCPT,HY,,Corral,17-Feb-05,80,23.1,24.7,20yr
BCPT,HY,,Corral,10-Jan-04,82.5,23.3,25.1,20yr
BCPT,AHY,,Corral,22-Jan-07,92,22.7,24.9,20yr
BCPT,AHY,,Corral,20-Feb-05,89.5,24.2,26.6,20yr
BCPT,AHY,,Corral,27-Feb-04,87.5,23.5,26,20yr
BCPT,HY,,Corral,24-Nov-05,85.5,24.3,27,20yr
BCPT,SY,,Corral,22-Feb-06,84.5,23.2,25.8,20yr
BCPT,HY,,Corral,26-Feb-07,82.5,21.9,24.4,20yr
BCPT,HY,,Corral,1-Mar-07,81,22.1,24.7,20yr
BCPT,AHY,,Corral,26-Dec-05,87,23.7,26.6,20yr
BCPT,AHY,,Corral,13-Nov-03,87.5,23.7,26.7,20yr
BCPT,HY,,Corral,1-Mar-07,82,22.6,25.7,20yr
BCPT,AHY,,Corral,2-Dec-06,85,22.8,26,20yr
BCPT,AHY,,Corral,19-Jan-05,87.5,24.3,27.8,20yr
BCPT,HY,,Corral,11-Jan-04,87.5,24,27.5,20yr
BCPT,AHY,,Corral,23-Jan-06,89,23.3,26.7,20yr
BCPT,AHY,,Corral,11-Jan-04,90,23.8,27.3,20yr
BCPT,HY,,Corral,20-Jan-05,81.5,23.5,27,20yr
BCPT,HY,,Corral,1-Mar-07,81,23.4,27.1,20yr
BCPT,AHY,,Corral,21-Jan-05,89,23.6,27.5,20yr
BCPT,AHY,,Corral,21-Jan-05,87,21.7,25.4,20yr
BCPT,HY,,Corral,24-Nov-05,83.5,23.8,28,20yr
BCPT,HY,,Corral,23-Jan-06,82,23.2,27.5,20yr
BCPT,HY,,Corral,14-Nov-03,81,23.6,28,20yr
BCPT,HY,,Corral,23-Jan-07,87,23.6,28.2,20yr
BCPT,HY,,Corral,9-Jan-04,88.5,24,28.7,20yr
BCPT,AHY,,Corral,11-Jan-04,91.5,22.9,27.4,20yr
BCPT,HY,,Corral,26-Dec-05,85.5,22.8,27.3,20yr
BCPT,HY,,Corral,14-Nov-03,84,23.6,28.3,20yr
BCPT,HY,,Corral,27-Feb-07,84.5,22.5,27.1,20yr
BCPT,HY,,Corral,13-Nov-03,85.5,23.5,28.4,20yr
BCPT,AHY,,Corral,26-Feb-04,90,23,27.8,20yr
BCPT,HY,,Corral,24-Nov-04,83,23.3,28.3,20yr
BCPT,SY,,Corral,23-Feb-06,84.5,22.5,27.4,20yr
BCPT,SY,,Corral,23-Feb-06,84,23.2,28.3,20yr
BCPT,AHY,,Corral,13-Nov-03,91.5,23.9,29.3,20yr
BCPT,HY,,Corral,24-Nov-05,82,22.4,27.7,20yr
BCPT,AHY,,Corral,13-Nov-03,88,23.6,29.4,20yr
BCPT,AHY,,Corral,24-Dec-05,90,24.1,30.3,20yr
BCPT,AHY,,Corral,18-Feb-05,79.5,22.7,28.7,20yr
BCPT,SY,,Corral,23-Feb-06,80.5,22.8,28.9,20yr
BCPT,AHY,,Corral,25-Feb-04,89,23.1,29.5,20yr
BCPT,HY,,Corral,20-Nov-04,86,24.1,31.5,20yr
BCPT,HY,,Cueva,11-Nov-05,82,25.4,26.5,2yr
BCPT,HY,,Cueva,11-Nov-05,80.5,24.4,25.5,2yr
BCPT,AHY,,Cueva,5-Jan-04,90,24.1,25.6,2yr
BCPT,AHY,,Cueva,9-Nov-03,89,24.8,26.4,2yr
BCPT,HY,,Cueva,11-Dec-05,83.5,23.8,25.4,2yr
BCPT,AHY,,Cueva,9-Nov-03,86,24.2,25.9,2yr
BCPT,AHY,,Cueva,11-Nov-04,87,23.4,25.2,2yr
BCPT,HY,,Cueva,11-Jan-07,82.5,23.9,25.8,2yr
BCPT,HY,,Cueva,6-Jan-05,79,22.9,24.9,2yr
BCPT,HY,,Cueva,8-Nov-03,81.5,24.3,26.6,2yr
BCPT,HY,,Cueva,14-Nov-05,83,23.4,25.8,2yr
BCPT,AHY,,Cueva,11-Nov-04,90,23.3,25.7,2yr
BCPT,HY,,Cueva,6-Jan-04,83,23.9,26.6,2yr
BCPT,HY,,Cueva,13-Nov-05,80,23.5,26.2,2yr
BCPT,AHY,,Cueva,15-Feb-07,92,24.2,27,2yr
BCPT,AHY,,Cueva,5-Feb-05,92,23.7,26.5,2yr
BCPT,AHY,,Cueva,8-Nov-03,90,24.4,27.3,2yr
BCPT,HY,,Cueva,21-Nov-06,80,23.3,26.1,2yr
BCPT,,,Cueva,22-Nov-06,82,23.1,25.9,2yr
BCPT,HY,,Cueva,7-Jan-05,81,22.9,25.9,2yr
BCPT,AHY,,Cueva,16-Feb-07,90,23.3,26.4,2yr
BCPT,HY,,Cueva,21-Nov-06,82,22.5,25.5,2yr
BCPT,AHY,,Cueva,21-Nov-06,89,23.1,26.2,2yr
BCPT,HY,,Cueva,8-Nov-03,82,24,27.3,2yr
BCPT,HY,,Cueva,3-Feb-05,82.5,23.1,26.3,2yr
BCPT,HY,,Cueva,21-Nov-06,86,23.7,27,2yr
BCPT,HY,,Cueva,7-Feb-05,85.5,22.6,25.8,2yr
BCPT,AHY,,Cueva,9-Nov-03,85,23.9,27.3,2yr
BCPT,AHY,,Cueva,10-Nov-03,88,23.2,26.9,2yr
BCPT,HY,,Cueva,10-Jan-07,83,23.4,27.4,2yr
BCPT,HY,,Cueva,8-Nov-03,82,24.9,29.2,2yr
BCPT,AHY,,Cueva,7-Jan-05,85,22.9,26.9,2yr
BCPT,HY,,Cueva,21-Nov-06,82,23.3,27.4,2yr
BCPT,AHY,,Cueva,21-Nov-06,91.5,24.6,29,2yr
BCPT,HY,,Cueva,21-Nov-06,82,23.2,27.4,2yr
BCPT,HY,,Cueva,9-Nov-04,87.5,23.2,27.5,2yr
BCPT,HY,,Cueva,17-Feb-07,81.5,23.9,28.6,2yr
BCPT,AHY,,Cueva,3-Jan-04,88.5,22.3,26.8,2yr
BCPT,AHY,,Cueva,12-Dec-05,88,23.1,27.8,2yr
BCPT,HY,,Cueva,7-Jan-05,85.5,24.1,29.1,2yr
BCPT,HY,,Cueva,9-Nov-04,88,23.4,28.5,2yr
BCPT,HY,,Cueva,9-Nov-03,82,23,28.1,2yr
BCPT,HY,,Cueva,10-Nov-04,83.5,24.1,29.7,2yr
BCPT,HY,,Cueva,4-Jan-05,87,23,29,2yr
BCPT,AHY,,Cueva,4-Feb-05,88.5,22.2,28.2,2yr
BCPT,HY,,Cueva,21-Nov-06,84,22.1,28.8,2yr
BCPT,HY,,Cueva,20-Nov-06,83,24,31.7,2yr
BCPT,HY,,Cueva,23-Nov-06,79,22.2,30.5,2yr
BCPT,AHY,,Cueva,9-Nov-04,89,23.8,35.1,2yr
BCPT,HY,,Cueva,8-Nov-04,82,21.5,32.8,2yr
BCPT,HY,,Cueva,9-Nov-04,85,24.3,37.4,2yr
BCPT,HY,,Morelia,18-Nov-04,81.5,24.7,25.3,10yr
BCPT,AHY,,Morelia,22-Nov-03,88.5,23.5,24.9,10yr
BCPT,HY,,Morelia,12-Jan-05,80,23.1,24.7,10yr
BCPT,AHY,,Morelia,20-Jan-06,91.5,23.8,25.6,10yr
BCPT,AHY,,Morelia,22-Nov-03,86.5,23.4,25.4,10yr
BCPT,AHY,,Morelia,25-Feb-04,89.5,23.2,25.2,10yr
BCPT,HY,,Morelia,12-Feb-05,82,22.9,25,10yr
BCPT,SY,,Morelia,19-Feb-06,85,23.5,26.1,10yr
BCPT,HY,,Morelia,17-Nov-04,85.5,23.4,26,10yr
BCPT,HY,,Morelia,17-Nov-04,82,22.3,24.9,10yr
BCPT,HY,,Morelia,13-Jan-05,83.5,23.5,26.3,10yr
BCPT,HY,,Morelia,25-Feb-07,83,24.8,27.9,10yr
BCPT,HY,,Morelia,22-Nov-05,83,24.2,27.4,10yr
BCPT,HY,,Morelia,24-Feb-04,86,23.5,26.7,10yr
BCPT,HY,,Morelia,16-Feb-05,83,23.5,26.7,10yr
BCPT,AHY,,Morelia,16-Feb-05,90,23.9,27.2,10yr
BCPT,SY,,Morelia,21-Feb-06,84,23,26.2,10yr
BCPT,AHY,,Morelia,19-Nov-04,86.5,23.2,26.5,10yr
BCPT,HY,,Morelia,22-Nov-03,84,24.4,27.9,10yr
BCPT,HY,,Morelia,22-Nov-03,83.5,24.1,27.6,10yr
BCPT,HY,,Morelia,19-Nov-04,81.5,22.7,26,10yr
BCPT,HY,,Morelia,18-Nov-05,85.5,23.2,26.6,10yr
BCPT,AHY,,Morelia,23-Nov-03,83.5,23.1,26.6,10yr
BCPT,AHY,,Morelia,22-Nov-03,88,23.8,27.7,10yr
BCPT,AHY,,Morelia,8-Jan-04,90.5,24.3,28.3,10yr
BCPT,AHY,,Morelia,20-Nov-05,85,23,26.9,10yr
BCPT,AHY,,Morelia,17-Nov-04,85,23.6,27.7,10yr
BCPT,HY,,Morelia,26-Feb-07,79.5,22.7,26.7,10yr
BCPT,AHY,,Morelia,9-Jan-04,86,22.7,26.8,10yr
BCPT,HY,,Morelia,14-Jan-05,88,23.2,27.4,10yr
BCPT,HY,,Morelia,13-Jan-05,86.5,23.5,27.8,10yr
BCPT,HY,,Morelia,21-Nov-05,86,23.8,28.4,10yr
BCPT,HY,,Morelia,14-Feb-05,84,23.5,28.2,10yr
BCPT,AHY,,Morelia,14-Jan-05,83,20.4,24.6,10yr
BCPT,HY,,Morelia,29-Nov-06,86.5,23.4,28.3,10yr
BCPT,HY,,Morelia,22-Nov-03,85.5,23.1,28,10yr
BCPT,AHY,,Morelia,19-Feb-06,93,24.5,29.9,10yr
BCPT,AHY,,Morelia,29-Nov-06,89,22.2,28.1,10yr
BCPT,AHY,,Morelia,20-Nov-04,87.5,23.4,29.9,10yr
BCPT,AHY,,Morelia,9-Jan-04,84,22.6,28.9,10yr
BCPT,AHY,,Aceitillar,12097,85,23,25.2,mature
BCPT,HY,,Aceitillar,12097,78,27,28.6,mature
BCPT,HY,,Aceitillar,12097,80,26.2,27.5,mature
BCPT,HY,,Aceitillar,12197,82,22.2,25.3,mature
BCPT,AHY,,Aceitillar,12497,86.5,23.4,24.8,mature
BCPT,AHY,,Aceitillar,12597,87.5,25.6,26.1,mature
BCPT,AHY,,Aceitillar,12597,88.5,20.6,24,mature
BCPT,AHY,,Aceitillar,1/26/1996,92,25.3/22.3,25.4,mature
BCPT,AHY,,Aceitillar,12597,89,26.6,28.1,mature
BCPT,HY,,Aceitillar,12597,82,25.6,24.1,mature
BCPT,AHY,,Aceitillar,12697,80.5,21.6,25.6,mature
BCPT,AHY,,Aceitillar,12697,85.5,21.7,23.9,mature
BCPT,AHY,,Aceitillar,31-Jan-97,90,23.2,24.3,mature
BCPT,,,Aceitillar,111596,88,23.6,25.6,mature
BCPT,,,Aceitillar,111596,85,21.9,24.4,mature
BCPT,,,Aceitillar,111596,90,24.5,26.6,mature
BCPT,,,Aceitillar,111596,85,22.8,26.8,mature
BCPT,,,Aceitillar,111596,89.5,23.4,27.8,mature
BCPT,AHY,,Aceitillar,1/25/1996,92.5,26.1,25.4,mature
BCPT,HY,,Aceitillar,112196,88,26.5,24.2,mature
BCPT,AHY,,Aceitillar,2-Mar-94,89,25.7,25.6,mature
BCPT,HY,,Aceitillar,3-Mar-94,82.5,25,25,mature
BCPT,AHY,,Aceitillar,3-Mar-94,84,,26.2,mature
BCPT,AHY,,Aceitillar,3-Mar-94,86,,26.1,mature
BCPT,AHY,,Aceitillar,7-Mar-94,90,26.6,27.6,mature
BCPT,AHY,,Aceitillar,7-Mar-94,90,26.6,25.9,mature
BCPT,HY,,Aceitillar,8-Mar-94,80,25.9,26,mature
BCPT,AHY,,Aceitillar,8-Mar-94,89,26.1,26.3,mature
BCPT,AHY,,Aceitillar,9-Mar-94,82.5,25.6,27.5,mature
BCPT,HY,,Aceitillar,1/16/1995,79.5,,24.8,mature
BCPT,AHY,,Aceitillar,1/17/1995,89.5,,25.3,mature
BCPT,HY,,Aceitillar,1/17/1995,88.5,,26,mature
BCPT,HY,,Aceitillar,1/17/1995,77,,24.9,mature
BCPT,AHY,,Aceitillar,1/25/1996,84.5,26,26.1,mature
