# Dominican republic Mencia pasture succession and Aceitillar morphometic data,,,,,,,,
"# Original file ""Mencia body cond site pers indivs.xls"" was received from Steve Latta via meail and saved as a workding  .csv file on 2/5/2018.
",,,,,,,,
"# Original .xls file password proteted; password = ""final""  all lower case",,,,,,,,
"# This file only contains wing and mass data for ""site persistent"" individuals as scored by SL latta",,,,,,,,
"# See  file ""All Mencia B.xls"" for SL's original site persistence data (capture histories in wide formake",,,,,,,,
# Files processed by Nathan Brouwer in R for re-submission of manuscript 2/5/2018,,,,,,,,
# Note that morphometic data occurs in other spreadsheets but usually not all years are available; this also include Mencia AND Aceitillliar,,,,,,,,
spp.code,age,sex,site,date.cap.org,wing,tarsus,tarsus.2,mass
BANA,AHY,,Caoba,14-Jan-07,52.5,15.5,,7.6
BANA,AHY,,Caoba,16-Nov-04,55.7,15.9,,7.8
BANA,HY,,Caoba,12-Jan-05,56,16.1,,7.9
BANA,HY,,Caoba,15-Nov-05,49,14.6,,7.2
BANA,AHY,,Caoba,21-Feb-04,50.5,15,,7.4
BANA,HY,,Caoba,9-Feb-05,54.5,15.2,,7.5
BANA,AHY,,Caoba,10-Jan-05,49.5,15.1,,7.5
BANA,AHY,,Caoba,13-Nov-04,52,15,,7.5
BANA,AHY,,Caoba,17-Dec-05,49.5,14.6,,7.3
BANA,HY,,Caoba,12-Nov-04,51.5,15.8,,8
BANA,AHY,,Caoba,18-Dec-05,53,15.8,,8
BANA,HY,,Caoba,14-Jan-07,54,16.3,,8.3
BANA,AHY,,Caoba,17-Dec-05,53.5,15.9,,8.1
BANA,AHY,,Caoba,17-Nov-05,57.5,15.7,,8
BANA,HY,,Caoba,8-Jan-05,51,14.7,,7.5
BANA,AHY,,Caoba,13-Nov-04,54.5,14.8,,7.6
BANA,AHY,,Caoba,15-Feb-06,51,14,,7.2
BANA,AHY,,Caoba,12-Jan-05,54,16.1,,8.3
BANA,AHY,,Caoba,12-Nov-04,52,15.2,,7.9
BANA,AHY,,Caoba,14-Jan-07,49,14.2,,7.4
BANA,HY,,Caoba,15-Nov-04,52.5,15.7,,8.2
BANA,HY,,Caoba,15-Nov-05,54.5,16,,8.4
BANA,AHY,,Caoba,14-Jan-07,50,15.4,,8.1
BANA,AHY,,Caoba,18-Feb-07,51.5,15.6,,8.3
