"spp.code","site","bnd.pre","bnd.suf","col","ag","sx","date","wng","tar","mass","wndr","rc.03.N","rs.03.N","rc.04.J","rs.04.J","rc.04.F","rs.04.F","rc.04.N","rs.04.N","rc.05.J","rs.05.J","rc.05.F","rs.05.F","rc.05.N","rs.05.N","rc.06.J","rs.06.J","rc.06.F","rs.06.F","rc.06.N","rs.06.N","rc.07.J","rs.07.J","rc.07.F","rs.07.F","rc.07.N","rs.07.N","rc.08.J","rs.08.J","date.cap.orig","yr","mo","day","nts","yr.num","site.ag.init","site.ag","bnd","stat.focals","num.rc.rs","persist","spp","stat","hab1","diet"
"AMRE","El Corral","2240","21865","RX-BR","HY","M","16-Feb-05",60,16.5,7,NA,NA,NA,NA,NA,NA,NA,"bf","bf","bf","bf",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-02-16,"2005",2,16,NA,2005,20,22,"2240-21865","mig",1,"P","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21866","RW-XR","HY",NA,"17-Feb-05",57.5,16.3,6.6,NA,NA,NA,NA,NA,NA,NA,"bf","bf","bf","bf",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-02-17,"2005",2,17,NA,2005,20,22,"2240-21866","mig",1,"P","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21869","XY-WR","AHY","F","19-Feb-05",60,17,7.3,NA,NA,NA,NA,NA,NA,NA,"bf","bf","bf","bf",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-02-19,"2005",2,19,NA,2005,20,22,"2240-21869","mig",1,"P","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21896","YR-XR","AHY","F","25-Nov-05",61,17.1,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-11-25,"2005",11,25,NA,2005,20,22,"2240-21896","mig",1,"P","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21906","XB-RB","AHY","M","26-Dec-05",63,17,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bf","bf",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-12-26,"2005",12,26,NA,2005,20,22,"2240-21906","mig",2,"P","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21944","YX-WY","HY","F","3-Dec-06",59,17.2,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,"1",2006-12-03,"2006",12,3,NA,2006,20,23,"2240-21944","mig",3,"P","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21955","YW-XR","AHY","F","21-Jan-07",57,17.1,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bf","bf",NA,"1",NA,"1",NA,NA,NA,NA,2007-01-21,"2007",1,21,NA,2007,20,24,"2240-21955","mig",2,"P","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21956","BR-XR","AHY","F","22-Jan-07",57.5,17.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bf","bf",NA,NA,NA,"1",NA,NA,NA,NA,2007-01-22,"2007",1,22,NA,2007,20,24,"2240-21956","mig",1,"P","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21957","XW-WR","HY","M","23-Jan-07",61,16.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bf","bf",NA,"1",NA,"1",NA,NA,NA,NA,2007-01-23,"2007",1,23,NA,2007,20,24,"2240-21957","mig",2,"P","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21570","YY-RX","HY","F","9-Nov-04",58.5,17.3,6.9,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-09,"2004",11,9,NA,2004,2,3,"2240-21570","mig",0,"NP","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21571","WW-XR","HY","F","9-Nov-04",63.5,16,7.3,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-09,"2004",11,9,NA,2004,2,3,"2240-21571","mig",3,"P","American Redstart","M","EF","I"
