"spp.code","bnd","col","ag","sx","site","date.cap.orig","N.96","J.97","M.97","N.97","J.98","M.98","J.99","J.00","J.01","J.02","J.03","nts","date.cap.raw","stat.focals","spp","stat","hab1","diet","sub.site","persist"
"BANA","2_6991","X-","AHY",NA,"Aceitillar",1999-01-18,"","","","","","","C","","","","","","1_18_1999","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2_6874","X-","AHY",NA,"Aceitillar",1999-01-29,"","","","","","","C","","","","","","1_29_1999","res","Bananaquit","R","EF","N","B2","NP"
"BANA","604","X-","AHY",NA,"Aceitillar",2000-01-24,"","","","","","","","C","","","","","1_24_2000","res","Bananaquit","R","EF","N","B2","NP"
"BANA","2110_81083","X-","AHY",NA,"Aceitillar",2001-02-01,"","","","","","","","","C","","","","2_1_2001","res","Bananaquit","R","EF","N","B2","NP"
"BANA","630","X-","AHY",NA,"Aceitillar",2000-01-27,"","","","","","","","C","","","","","1_27_2000","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2110_81082","X-","AHY",NA,"Aceitillar",2001-02-01,"","","","","","","","","C","","","","2_1_2001","res","Bananaquit","R","EF","N","B2","NP"
"BANA","614","X-","AHY",NA,"Aceitillar",2000-01-25,"","","","","","","","C","","C","","","1_25_2000","res","Bananaquit","R","EF","N","B1","P"
"BANA","618","X-","AHY",NA,"Aceitillar",2000-01-26,"","","","","","","","C","","","","","1_26_2000","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2110_81089","X-","AHY",NA,"Aceitillar",2001-02-02,"","","","","","","","","C","","","","2_2_2001","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2110_81090","X-","AHY",NA,"Aceitillar",2001-02-02,"","","","","","","","","C","","","","2_2_2001","res","Bananaquit","R","EF","N","B1","NP"
"BANA","602","X-","AHY",NA,"Aceitillar",2000-01-24,"","","","","","","","C","","","","","1_24_2000","res","Bananaquit","R","EF","N","B2","NP"
"BANA","2_6894","X-","AHY",NA,"Aceitillar",2000-01-23,"","","","","","","","C","","","","","1_23_2000","res","Bananaquit","R","EF","N","B2","NP"
"BANA","2_5489","X-","AHY",NA,"Aceitillar",1999-01-18,"","","","","","","C","","","","","","1_18_1999","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2_5490","X-","AHY",NA,"Aceitillar",1999-01-18,"","","","","","","C","","","","","","1_18_1999","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2_6992","X-","AHY",NA,"Aceitillar",1999-01-18,"","","","","","","C","","","","","","1_18_1999","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2_6994","X-","AHY",NA,"Aceitillar",1999-01-18,"","","","","","","C","","","","","","1_18_1999","res","Bananaquit","R","EF","N","B1","NP"
"BANA","615","X-","AHY",NA,"Aceitillar",2000-01-25,"","","","","","","","C","","","","","1_25_2000","res","Bananaquit","R","EF","N","B1","NP"
"BANA","613","X-","AHY",NA,"Aceitillar",2000-01-25,"","","","","","","","C","","","","","1_25_2000","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2110_55406","X-","AHY",NA,"Aceitillar",2001-02-03,"","","","","","","","","C","","","","2_3_2001","res","Bananaquit","R","EF","N","B1","NP"
