# Mencia pasture succession bird captures 2005-2006 Dominican Republic,,,,,,,,,,,,,
"# Original file received from Steve Latta via email 12/2017 ""2005-06 All Captures.xls""   Files processed by Nathan Brouwer in R for re-submission of manuscript 1/15/2018",,,,,,,,,,,,,
"# See additional file ""All Mencia B.xls"" for information on site persistance ",,,,,,,,,,,,,
"# NOTE: file does not contain morphometric or condition data (pec, etc)",,,,,,,,,,,,,
"#Original comment: ""All bird captured in 2005-06 -- but all within session recaps omitted""  This information is likely in the ""All Mencia B.xls"" file that contains information on site persistance",,,,,,,,,,,,,
BAND PRE,BAND SUF,COLORS,SPECIES,AGE,SEX,SITE,DATE,WING,TARSUS,MASS,FAT,PEC,NOTES
2240,21919,X-,BFGR,HY,,La Caoba,18-Feb-06,,,,,,x
2240,21920,X-,BFGR,AHY,M,La Caoba,18-Feb-06,,,,,,x
,446,YY-XW,BTBW,HY,F,La Caoba,14-Nov-05,,,,,,x
,452,BR-XR,BTBW,HY,F,La Caoba,15-Nov-05,,,,,,x
,455,WW-XY,BTBW,AHY,F,La Caoba,16-Nov-05,,,,,,x
,461,BY-XY,BTBW,HY,F,La Caoba,17-Nov-05,,,,,,x
,462,BR-XY,BTBW,AHY,M,La Caoba,18-Nov-05,,,,,,x
,462,BR-XY,BTBW,AHY,M,La Caoba,17-Dec-05,,,,,,x
2430,14066,YW-XR,BTBW,HY,M,La Caoba,14-Jan-06,,,,,,x
2430,14069,WY-XY,BTBW,HY,F,La Caoba,14-Jan-06,,,,,,x
2430,14104,RY-XB,BTBW,AHY,F,La Caoba,15-Feb-06,,,,,,x
1771,12073,X-,BWVI,AHY,,La Caoba,15-Jan-06,,,,,,x
,431,YR-YX,CMWA,AHY,M,La Caoba,16-Dec-05,,,,,,x
,453,RY-RX,CMWA,HY,M,La Caoba,15-Nov-05,,,,,,x
,458,RW-RX,CMWA,HY,F,La Caoba,17-Nov-05,,,,,,x
,459,YB-RX,CMWA,HY,M,La Caoba,17-Nov-05,,,,,,x
2370,3845,BY-XB,CMWA,AHY,F,La Caoba,18-Jan-06,,,,,,x
2430,14011,YX-WW,CMWA,HY,F,La Caoba,15-Dec-05,,,,,,x
2430,14012,WX-WR,CMWA,HY,F,La Caoba,15-Dec-05,,,,,,x
2430,14013,RW-YX,CMWA,AHY,M,La Caoba,15-Dec-05,,,,,,x
2430,14017,BX-WB,CMWA,AHY,M,La Caoba,16-Dec-05,,,,,,x
2430,14019,BX-WY,CMWA,HY,F,La Caoba,16-Dec-05,,,,,,x
2430,14021,WX-YW,CMWA,AHY,M,La Caoba,16-Dec-05,,,,,,x
2430,14028,BX-YW,CMWA,HY,M,La Caoba,18-Dec-05,,,,,,x
