# Mencia pasture succession bird captures 2003-2004 Dominican Republic,,,,,,,,,,,,
"# Original file received from Steve Latta via email 12/2017 ""2003-04 All Captures.xls""",,,,,,,,,,,,
"# See additional file ""All Mencia B.xls"" for information on site persistance ",,,,,,,,,,,,
# Files processed by Nathan Brouwer in R for re-submission of manuscript 1/15/2018,,,,,,,,,,,,
# Note that this is the only year w/morphometric data,,,,,,,,,,,,
BAND PRE,BAND SUF,COLORS,SPECIES,AGE,SEX,SITE,DATE,WING,TARSUS,MASS,FAT,PEC
8A,12,X-,KWQD,AHY,,El Corral,26-Feb-04,153,30.2,181.7,,
8A,20,X-,KWQD,AHY,,El Corral,10-Jan-04,152,29.3,162.7,,
8A,10,X-,MACU,AHY,,El Corral,13-Nov-03,131.5,28.3,64,,
1781,50307,X-,NOMO,AHY,,El Corral,13-Nov-03,94,29.9,38.1,,
1781,50326,X-,NOMO,AHY,,El Corral,26-Feb-04,98.5,31,43.5,,
1771,12107,X-,OVEN,AHY,,El Corral,13-Nov-03,71,21,19.3,0,0
1771,12108,X-,OVEN,HY,,El Corral,13-Nov-03,77,22.3,18.4,0,1
1771,12109,X-,OVEN,HY,,El Corral,13-Nov-03,70,21.5,18.2,0,0
1771,12110,X-,OVEN,HY,,El Corral,13-Nov-03,74,22.2,19.2,1,3
1771,12111,X-,OVEN,HY,,El Corral,13-Nov-03,74.5,21.2,18.6,1,2
1771,12111,X-,OVEN,HY,,El Corral,10-Jan-04,75.5,21.3,17.3,1,2
1771,12111,X-,OVEN,HY,,El Corral,25-Feb-04,75,21.2,16.4,1,1
1771,12112,X-,OVEN,HY,,El Corral,14-Nov-03,74.5,21.7,19.3,0,0
1771,12112,X-,OVEN,HY,,El Corral,10-Jan-04,74.5,21.7,18.3,1,0
1771,12139,X-,OVEN,HY,,El Corral,9-Jan-04,71.5,22.7,16.6,0,1
1771,12140,X-,OVEN,AHY,,El Corral,9-Jan-04,76.5,21.1,16.6,0,0
1771,12140,X-,OVEN,AHY,,El Corral,26-Feb-04,77.5,21.2,17.4,2,2
1771,12141,X-,OVEN,AHY,,El Corral,10-Jan-04,75.5,23.8,19.5,0,2
1771,12142,X-,OVEN,AHY,,El Corral,10-Jan-04,77,22.9,18.6,0,1
1771,12142,X-,OVEN,AHY,,El Corral,25-Feb-04,78.5,22.9,17.9,0,1
1771,12143,X-,OVEN,HY,,El Corral,10-Jan-04,74,22.8,17.8,1,1
1771,12144,X-,OVEN,HY,,El Corral,11-Jan-04,76.5,21.7,19.2,0,0
1771,12144,X-,OVEN,,,El Corral,26-Feb-04,76.5,21.9,19.9,1,1
1771,12153,YX-YY,OVEN,AHY,,El Corral,25-Feb-04,76.5,22.9,19.7,1,0
1771,12153,YX-YY,OVEN,AHY,,El Corral,26-Feb-04,,,,,
1771,12154,XR-RY,OVEN,AHY,,El Corral,26-Feb-04,73,23,19,1,1
2280,33282,BR-YX,PAWA,AHY,,El Corral,26-Feb-04,,,,,
2250,78631,BX-RR,PRAW,AHY,F,El Corral,13-Nov-03,53,18,6.7,0,1
1791,50693,BR-XY,STOF,,,El Corral,25-Feb-04,83.5,22,20.1,,
1791,50696,BY-XR,STOF,,,El Corral,26-Feb-04,84,19.8,20.3,,
2280,33226,X-,YFGR,HY,M,El Corral,11-Jan-04,49.5,16.1,8.9,,
2250,78625,X-,YFGR,AHY,M,El Corral,12-Nov-03,50,15.9,9.1,,
2250,78627,X-,YFGR,HY,F,El Corral,12-Nov-03,47.5,15.9,8.4,,
2250,78628,X-,YFGR,AHY,M,El Corral,12-Nov-03,49.5,16.3,9.6,,
2250,78628,X-,YFGR,AHY,M,El Corral,9-Jan-04,50,16.3,9.4,,
2250,78629,X-,YFGR,HY,F,El Corral,12-Nov-03,48,15.5,12,,
2250,78630,X-,YFGR,HY,M,El Corral,13-Nov-03,49,16.3,8.2,,
2250,78633,X-,YFGR,AHY,M,El Corral,13-Nov-03,53,16.6,9.1,,
,,,,,,,,,,,,
2240,21513,BY-XW,AMRE,AHY,F,La Caoba,10-Nov-03,59.5,17.8,7.9,3,2
2240,21513,BY-XW,AMRE,AHY,F,La Caoba,6-Jan-04,60,17.4,7,0,1
2240,21513,BY-XW,AMRE,AHY,F,La Caoba,6-Jan-04,60,17.4,7,0,1
2240,21515,YW-BX,AMRE,AHY,F,La Caoba,10-Nov-03,58,17,7.7,2,2
2240,21515,YW-BX,AMRE,AHY,F,La Caoba,11-Nov-03,,,,,
2240,21519,RX-YB,AMRE,AHY,M,La Caoba,11-Nov-03,61.5,16.7,7.2,0,0
2240,21522,WX-YB,AMRE,AHY,F,La Caoba,11-Nov-03,59.5,16.9,7.5,0,0
2240,21526,BX-RR,AMRE,AHY,F,La Caoba,12-Nov-03,57.5,16.7,5.8,0,0
2240,21527,BR-WX,AMRE,AHY,F,La Caoba,12-Nov-03,58.5,16.8,7.1,0,2
2240,21528,XB-WW,AMRE,AHY,F,La Caoba,12-Nov-03,60.5,16.8,6.8,0,0
2240,21536,BW-XY,AMRE,HY,F,La Caoba,22-Feb-04,57,17.1,6.4,0,0
2240,21542,XR-WX,AMRE,HY,F,La Caoba,5-Jan-04,,,,,
2240,21550,XW-WW,AMRE,AHY,F,La Caoba,7-Jan-04,62.5,17.5,6.4,0,1
2240,21552,YB-XR,AMRE,HY,F,La Caoba,7-Jan-04,61,17.5,6.8,0,0
4A,250,X-R,ANPI,AHY,M,La Caoba,22-Feb-04,65,17.5,,,
2280,33202,X-,BANA,HY,,La Caoba,7-Jan-04,51.5,15.8,7.4,,
2280,33253,X-,BANA,HY,,La Caoba,21-Feb-04,52.5,15.3,8.3,,
2280,33256,X-,BANA,AHY,,La Caoba,21-Feb-04,50.5,15,7.4,,
2250,78560,X-,BANA,HY,,La Caoba,10-Nov-03,54.5,16.5,8.8,,
2250,78599,X-,BANA,AHY,,La Caoba,11-Nov-03,50.5,14.7,8.6,,
2250,78599,X-,BANA,AHY,,La Caoba,6-Jan-04,51.5,14.8,8.8,,
2250,78606,X-,BANA,HY,,La Caoba,11-Nov-03,56,16.7,9.3,,
2250,78619,X-,BANA,HY,,La Caoba,12-Nov-03,,,,,
2250,78622,X-,BANA,AHY,,La Caoba,12-Nov-03,52,15.3,7.5,,
2250,78623,X-,BANA,HY,,La Caoba,12-Nov-03,52,15.4,7.3,,
2250,78689,X-,BANA,HY,,La Caoba,6-Jan-04,52.5,15.5,7.6,,
2250,78691,X-,BANA,HY,,La Caoba,6-Jan-04,53.5,15.8,7.4,,
2250,78594,X-R,BAWW,AHY,F,La Caoba,11-Nov-03,67,18.3,8.7,0,1
4A,209,BX-YW,BCPT,HY,,La Caoba,6-Jan-04,83,23.9,26.6,,
4A,211,X-Y,BCPT,HY,,La Caoba,10-Nov-03,83,23.9,30.5,,
4A,211,X-Y,BCPT,HY,,La Caoba,6-Jan-04,88,24.9,29.3,,
4A,212,RX-YB,BCPT,AHY,,La Caoba,11-Nov-03,85.5,21.3,26.9,,
4A,213,RX-BW,BCPT,AHY,,La Caoba,11-Nov-03,89.5,23.3,26.5,,
4A,214,WX-BY,BCPT,HY,,La Caoba,11-Nov-03,81,23.9,27.6,,
4A,215,XR-BR,BCPT,HY,,La Caoba,11-Nov-03,85,24,29.3,,
4A,234,RR-XR,BCPT,HY,,La Caoba,5-Jan-04,83.5,23.1,26,,
4A,235,YY-BX,BCPT,AHY,,La Caoba,6-Jan-04,86.5,23.7,28.4,,
4A,236,YY-RX,BCPT,AHY,,La Caoba,7-Jan-04,93,23.9,27.3,,
4A,237,RB-RX,BCPT,AHY,,La Caoba,7-Jan-04,93,23.2,25.5,,
4A,249,BR-XY,BCPT,HY,,La Caoba,22-Feb-04,85.5,24.2,27.8,,
2240,21517,X-,BFGR,AHY,M,La Caoba,10-Nov-03,51,16.1,11.1,,
2240,21517,X-,BFGR,AHY,M,La Caoba,21-Feb-04,52.5,16.5,9.9,,
2240,21521,X-,BFGR,AHY,M,La Caoba,11-Nov-03,53.5,17.3,10.1,,
2240,21521,X-,BFGR,AHY,M,La Caoba,22-Feb-04,54,17.3,10.1,,
2240,21525,X-,BFGR,AHY,M,La Caoba,12-Nov-03,54.5,16.4,11.3,,
2240,21529,X-,BFGR,AHY,F,La Caoba,12-Nov-03,53,16.5,9.9,,
2240,21560,X-,BFGR,HY,,La Caoba,21-Feb-04,49,16.4,10.4,,
2240,21562,X-,BFGR,HY,,La Caoba,23-Feb-04,51,15.9,9.6,,
2250,78597,X-,BLPW,AHY,F,La Caoba,11-Nov-03,70,18.3,10.1,,
2250,78688,RR-XR,BTBW,HY,F,La Caoba,6-Jan-04,59.5,18.3,8.8,1,2
2280,33201,RB-XR,CMWA,HY,F,La Caoba,7-Jan-04,63.5,17.4,8.8,0,1
2280,33228,WW-XR,CMWA,AHY,F,La Caoba,22-Feb-04,,,,,
2280,33251,XY-RR,CMWA,AHY,M,La Caoba,21-Feb-04,65,17.8,14.2,2,1
2280,33251,XY-RR,CMWA,AHY,M,La Caoba,23-Feb-04,,,,,
2280,33252,RX-RW,CMWA,HY,F,La Caoba,21-Feb-04,63,17.9,9.6,2,1
2280,33254,BR-XB,CMWA,HY,F,La Caoba,21-Feb-04,64,17.8,10.2,0,1
2280,33255,XR-RB,CMWA,AHY,M,La Caoba,21-Feb-04,66,18,10.5,2,2
2280,33257,YR-XY,CMWA,HY,F,La Caoba,21-Feb-04,64,19.1,8.8,1,2
2280,33258,YR-RX,CMWA,HY,F,La Caoba,21-Feb-04,62,17.7,8.7,1,0
2280,33261,XR-RR,CMWA,AHY,M,La Caoba,22-Feb-04,64,18.4,9.5,1,1
2280,33262,RX-YY,CMWA,HY,F,La Caoba,22-Feb-04,64,18,8.9,1,2
2280,33263,XY-YR,CMWA,HY,F,La Caoba,22-Feb-04,65.5,18,9.9,1,2
2280,33264,XB-YY,CMWA,AHY,M,La Caoba,22-Feb-04,64,17,9.4,1,2
2280,33265,XY-RY,CMWA,AHY,M,La Caoba,22-Feb-04,62,18.7,9.8,0,1
2280,33267,RX-WR,CMWA,HY,F,La Caoba,22-Feb-04,63,18.3,9.6,1,2
2280,33268,YX-YR,CMWA,AHY,M,La Caoba,22-Feb-04,68,17.9,10,2,1
2280,33269,RR-YX,CMWA,AHY,M,La Caoba,22-Feb-04,62,17.6,9.6,2,2
2280,33270,RX-RY,CMWA,HY,F,La Caoba,22-Feb-04,62.5,17.3,9.6,2,0
2280,33271,BR-YX,CMWA,AHY,F,La Caoba,22-Feb-04,63.5,17.5,9.1,1,1
2280,33274,BR-BX,CMWA,AHY,F,La Caoba,23-Feb-04,61.5,18.2,8.9,0,0
2280,33276,RR-XY,CMWA,HY,F,La Caoba,23-Feb-04,62,18.3,11.8,1,2
2280,33277,RB-BX,CMWA,AHY,M,La Caoba,23-Feb-04,66,18.6,10.2,1,1
2280,33279,RX-YR,CMWA,HY,F,La Caoba,23-Feb-04,61.5,18,8.8,0,0
2250,78561,XY-BY,CMWA,HY,M,La Caoba,10-Nov-03,67.5,17.9,10.1,2,3
2250,78566,BY-RX,CMWA,HY,M,La Caoba,10-Nov-03,65,17.9,10,2,1
2250,78571,WX-BY,CMWA,HY,M,La Caoba,10-Nov-03,66,18,9.9,2,1
2250,78577,BR-RX,CMWA,HY,F,La Caoba,10-Nov-03,62.5,17.8,9.4,3,2
2250,78578,YX-BR,CMWA,HY,F,La Caoba,10-Nov-03,61.5,18.7,9.9,3,0
2250,78579,RX-YB,CMWA,HY,F,La Caoba,11-Nov-03,62,16.8,8.8,1,1
2250,78585,XW-YB,CMWA,HY,M,La Caoba,11-Nov-03,64.5,17.4,9.1,1,2
2250,78587,WX-BW,CMWA,AHY,M,La Caoba,11-Nov-03,68.5,18.3,9.6,1,1
2250,78587,WX-BW,CMWA,AHY,M,La Caoba,6-Jan-04,68.5,18.3,9.7,1,1
2250,78590,YX-BW,CMWA,AHY,F,La Caoba,11-Nov-03,65,18.4,8.5,0,1
2250,78601,XW-RB,CMWA,AHY,F,La Caoba,11-Nov-03,65,17.2,9.2,3,2
2250,78602,XW-BY,CMWA,HY,F,La Caoba,11-Nov-03,64.5,17.6,9.9,3,2
2250,78609,WB-YX,CMWA,AHY,M,La Caoba,11-Nov-03,70,18.9,10.2,3,2
2250,78612,BX-YR,CMWA,HY,F,La Caoba,11-Nov-03,63,18.1,9.3,2,2
2250,78612,BX-YR,CMWA,HY,F,La Caoba,6-Jan-04,64,18.2,9,2,3
2250,78616,BX-RR,CMWA,AHY,F,La Caoba,12-Nov-03,64.5,17.8,8.9,2,2
2250,78677,XB-BY,CMWA,AHY,M,La Caoba,5-Jan-04,68.5,18,10,2,2
2250,78679,RR-XB,CMWA,AHY,F,La Caoba,5-Jan-04,66,18.1,8.9,1,0
2250,78681,RR-BX,CMWA,HY,F,La Caoba,6-Jan-04,64.5,18.6,9,3,2
2250,78685,YY-XB,CMWA,HY,F,La Caoba,6-Jan-04,65.5,18,9.2,1,2
2250,78687,RY-BX,CMWA,HY,F,La Caoba,6-Jan-04,64.5,18.7,9.4,1,1
2250,78692,RY-YX,CMWA,AHY,F,La Caoba,6-Jan-04,62,17.8,8.6,2,1
2250,78693,YY-RX,CMWA,HY,F,La Caoba,6-Jan-04,62,18.8,8.9,1,1
2250,78694,YX-RY,CMWA,AHY,M,La Caoba,6-Jan-04,67,18.7,9.6,1,2
2250,78695,RX-RR,CMWA,HY,F,La Caoba,6-Jan-04,62.5,18.7,8,0,0
2250,78696,XB-RR,CMWA,HY,F,La Caoba,6-Jan-04,63.5,18.1,8.7,1,0
2250,78697,WW-XY,CMWA,AHY,M,La Caoba,6-Jan-04,68,17.8,8.8,0,1
2250,78699,XY-YY,CMWA,HY,F,La Caoba,7-Jan-04,65,18.5,9.5,0,2
2250,78700,WW-YX,CMWA,AHY,M,La Caoba,7-Jan-04,68,18.5,9.2,0,0
2280,33250,XY-BR,COYE,HY,F,La Caoba,21-Feb-04,52.5,19.2,8.8,2,2
2280,33260,XY-YR,COYE,AHY,M,La Caoba,22-Feb-04,56.5,18.9,9.2,0,0
2280,33266,RX-YY,COYE,AHY,M,La Caoba,22-Feb-04,57,20.8,10.2,1,0
2280,33275,XY-RY,COYE,HY,M,La Caoba,23-Feb-04,54,20.1,9.5,0,0
2250,78557,XB-WR,COYE,AHY,M,La Caoba,10-Nov-03,55,19.5,10,2,2
2250,78557,XB-WR,COYE,AHY,M,La Caoba,11-Nov-03,,,,,
2250,78558,WX-BY,COYE,HY,M,La Caoba,10-Nov-03,56.5,20.7,11.2,2,2
2250,78558,WX-BY,COYE,HY,M,La Caoba,6-Jan-04,55.5,21,10.4,0,0
2250,78559,RX-YB,COYE,AHY,F,La Caoba,10-Nov-03,51.5,20.4,,,
2250,78559,RX-YB,COYE,AHY,F,La Caoba,11-Nov-03,,,,,
2250,78559,RX-YB,COYE,AHY,F,La Caoba,7-Jan-04,51.5,20.4,8.5,0,0
2250,78562,BY-YX,COYE,HY,M,La Caoba,10-Nov-03,53,19.7,10.1,3,3
2250,78562,BY-YX,COYE,HY,M,La Caoba,11-Nov-03,,,,,
2250,78567,XW-BY,COYE,HY,M,La Caoba,10-Nov-03,52.5,19.7,10.7,3,3
2250,78568,YX-BY,COYE,HY,M,La Caoba,10-Nov-03,57,21.8,10.7,3,2
2250,78570,BX-YY,COYE,HY,F,La Caoba,10-Nov-03,52,20.6,10.1,3,2
2250,78572,RX-BW,COYE,AHY,F,La Caoba,10-Nov-03,50.5,19.8,9.9,3,3
2250,78573,WB-RX,COYE,AHY,F,La Caoba,10-Nov-03,50.5,20.4,9,3,1
2250,78576,WX-BR,COYE,HY,M,La Caoba,10-Nov-03,52,20.1,9.8,3,2
2250,78582,XY-WB,COYE,HY,M,La Caoba,11-Nov-03,55.5,20.3,10.2,0,1
2250,78588,WX-BW,COYE,AHY,F,La Caoba,11-Nov-03,51.5,20.6,8.9,0,1
2250,78591,YX-BW,COYE,AHY,F,La Caoba,11-Nov-03,52,20.5,8.8,0,1
2250,78592,RX-WB,COYE,AHY,F,La Caoba,11-Nov-03,52,20.5,9.4,0,0
2250,78604,WR-BX,COYE,AHY,M,La Caoba,11-Nov-03,53.5,20.7,9.9,3,2
2250,78604,WR-BX,COYE,AHY,M,La Caoba,12-Nov-03,,,,,
2250,78604,WR-BX,COYE,AHY,M,La Caoba,6-Jan-04,53.5,21.2,8.8,0,0
2250,78607,WX-WB,COYE,AHY,F,La Caoba,11-Nov-03,52.5,19.1,9.9,3,2
2250,78613,XB-WW,COYE,AHY,F,La Caoba,11-Nov-03,53.5,20.1,9.8,3,2
2250,78614,YB-RX,COYE,HY,F,La Caoba,11-Nov-03,53,19.8,9.8,3,1
2250,78618,BX-RR,COYE,HY,M,La Caoba,12-Nov-03,55,20.1,9.6,0,2
2250,78618,BX-RR,COYE,HY,M,La Caoba,7-Jan-04,55,20.3,9.2,0,1
2250,78618,BX-RR,COYE,HY,M,La Caoba,22-Feb-04,55,20.4,9.4,1,1
2250,78624,XB-BB,COYE,AHY,F,La Caoba,12-Nov-03,51,20,9.3,0,2
2250,78675,BX-BY,COYE,AHY,M,La Caoba,5-Jan-04,,,,,
2250,78680,RB-RX,COYE,HY,M,La Caoba,6-Jan-04,55.5,21.3,9.3,1,1
2250,78684,YY-XB,COYE,HY,M,La Caoba,6-Jan-04,54.5,20,9.3,0,0
2250,78686,YY-RX,COYE,HY,F,La Caoba,6-Jan-04,51,20.3,8.3,0,1
1791,50601,X-,GABU,AHY,M,La Caoba,7-Jan-04,75.5,21.2,22.7,,
1791,50608,X-,GABU,HY,M,La Caoba,10-Nov-03,72.5,20.4,20.9,,
1791,50608,X-,GABU,HY,M,La Caoba,21-Feb-04,71,20.4,20.9,,
1791,50609,X-,GABU,HY,F,La Caoba,10-Nov-03,67,20.9,20.8,,
1791,50609,X-,GABU,HY,F,La Caoba,12-Nov-03,,,,,
1791,50610,X-,GABU,AHY,M,La Caoba,10-Nov-03,74,20.7,23.2,,
1791,50610,X-,GABU,AHY,M,La Caoba,22-Feb-04,75,21.8,22.3,,
1791,50611,X-,GABU,HY,F,La Caoba,10-Nov-03,67,20.2,18.9,,
1791,50612,X-,GABU,AHY,F,La Caoba,10-Nov-03,65.5,21.3,20.7,,
1791,50612,X-,GABU,AHY,F,La Caoba,22-Feb-04,67,21.4,19.4,,
1791,50613,X-,GABU,HY,,La Caoba,10-Nov-03,69,22.1,22.4,,
1791,50614,X-,GABU,AHY,M,La Caoba,10-Nov-03,73.5,21,24.6,,
1791,50614,X-,GABU,AHY,M,La Caoba,6-Jan-04,73.5,21,25,,
1791,50615,X-,GABU,HY,M,La Caoba,11-Nov-03,54.5,21.3,22.5,,
1791,50616,X-,GABU,HY,M,La Caoba,11-Nov-03,69.5,21.7,22,,
1791,50618,X-,GABU,AHY,M,La Caoba,11-Nov-03,74.5,21.3,24.2,,
1791,50619,X-,GABU,AHY,M,La Caoba,11-Nov-03,74,21,22.7,,
1791,50619,X-,GABU,AHY,M,La Caoba,6-Jan-04,74,21.9,23.6,,
1791,50620,X-,GABU,HY,F,La Caoba,11-Nov-03,69,20.7,21.4,,
1791,50621,X-,GABU,AHY,M,La Caoba,11-Nov-03,71.5,22,24.8,,
1791,50622,X-,GABU,AHY,M,La Caoba,11-Nov-03,73.5,22.7,25.6,,
1791,50623,X-,GABU,HY,M,La Caoba,12-Nov-03,77,21.1,23.6,,
1791,50624,X-,GABU,AHY,F,La Caoba,12-Nov-03,72,20.9,21.3,,
1791,50625,X-,GABU,AHY,M,La Caoba,12-Nov-03,75.5,20.7,23.1,,
1791,50626,X-,GABU,HY,F,La Caoba,12-Nov-03,67.5,20.8,20.9,,
1791,50627,X-,GABU,HY,M,La Caoba,12-Nov-03,71.5,21,18.9,,
1791,50648,X-,GABU,HY,M,La Caoba,23-Feb-04,70,22.5,20.6,,
1791,50653,X-,GABU,AHY,M,La Caoba,5-Jan-04,74,21.7,23.8,,
1791,50654,X-,GABU,AHY,M,La Caoba,6-Jan-04,74.5,21.8,22.1,,
1791,50655,X-,GABU,AHY,M,La Caoba,6-Jan-04,74.5,21.5,23.6,,
1791,50656,X-,GABU,HY,M,La Caoba,6-Jan-04,71.5,22.5,23.2,,
1791,50658,X-,GABU,HY,F,La Caoba,7-Jan-04,64,20.3,17.7,,
1791,50659,X-,GABU,HY,M,La Caoba,7-Jan-04,71.5,21,22.6,,
1791,50676,X-,GABU,HY,M,La Caoba,21-Feb-04,69.5,20.9,,,
1791,50677,X-,GABU,AHY,F,La Caoba,22-Feb-04,70,20.3,18.4,,
1791,50678,X-,GABU,HY,F,La Caoba,22-Feb-04,65.5,20.3,19.8,,
