# Mencia pasture succession bird captures 2007-2008 Dominican Republic,,,,,,,,,,,,,
"# Original file received from Steve Latta via email 12/2017 ""2007-08 All Captures.xls""   Files processed by Nathan Brouwer in R for re-submission of manuscript 1/15/2018   See additional file ""All Mencia B.xls"" for information on site persistance ",,,,,,,,,,,,,
# NOTE: original file contains occasinal spaces between chunks of records;  appears to be by species,,,,,,,,,,,,,
"# NOTE: file does not contain morphometric or condition data (pec, etc)",,,,,,,,,,,,,
"#Original comment: ""New birds and recaps captured in 2007-08  -- but all within session recaps omitted""  This information is likely in the ""All Mencia B.xls"" file that contains information on site persistance",,,,,,,,,,,,,
BAND PRE,BAND SUF,COLORS,SPECIES,AGE,SEX,SITE,DATE,WING,TARSUS,MASS,FAT,PEC,NOTES
4A,439,X-,BCPT,HY,,La Caoba A,14-Nov-07,,,,,,
4A,440,X-,BCPT,AHY,,La Caoba A,14-Nov-07,,,,,,
4A,441,X-,BCPT,HY,,La Caoba A,14-Nov-07,,,,,,
4A,447,X-,BCPT,AHY,,La Caoba,11-Jan-08,,,,,,
4A,449,X-,BCPT,HY,,La Caoba A,11-Jan-08,,,,,,
2240,21507,X-,BFGR,AHY,M,La Caoba,11-Nov-07,,,,,,
2240,21985,X-,BFGR,AHY,F,La Caoba,13-Nov-07,,,,,,
2430,14063,BX-RR,BTBW,AHY,M,La Caoba,12-Nov-07,,,,,,
2430,14400,X-,BTBW,AHY,F,La Caoba,11-Nov-07,,,,,,
2430,14405,X-,BTBW,HY,F,La Caoba,12-Nov-07,,,,,,
2430,14406,X-,BTBW,AHY,M,La Caoba,12-Nov-07,,,,,,
2430,14407,X-,BTBW,HY,F,La Caoba,12-Nov-07,,,,,,
2430,14408,X-,BTBW,AHY,M,La Caoba,12-Nov-07,,,,,,
2430,14409,X-,BTBW,AHY,F,La Caoba,13-Nov-07,,,,,,
2430,14412,X-,BTBW,HY,F,La Caoba A,13-Nov-07,,,,,,
2430,14415,X-,BTBW,AHY,F,La Caoba A,13-Nov-07,,,,,,
2430,14420,X-,BTBW,AHY,M,La Caoba A,14-Nov-07,,,,,,
2430,14422,X-,BTBW,HY,M,La Caoba A,14-Nov-07,,,,,,
2430,14423,X-,BTBW,AHY,F,La Caoba A,14-Nov-07,,,,,,
2430,14424,X-,BTBW,HY,F,La Caoba A,14-Nov-07,,,,,,
2430,14425,X-,BTBW,HY,F,La Caoba A,14-Nov-07,,,,,,
2430,14474,X-,BTBW,AHY,M,La Caoba,9-Jan-08,,,,,,
2430,14478,X-,BTBW,HY,F,La Caoba A,11-Jan-08,,,,,,
2430,14488,X-,BTBW,AHY,F,La Caoba A,12-Jan-08,,,,,,
2430,14401,X-,CMWA,AHY,F,La Caoba,11-Nov-07,,,,,,
2430,14402,X-,CMWA,AHY,F,La Caoba,12-Nov-07,,,,,,
2430,14410,X-,CMWA,AHY,F,La Caoba,11-Jan-08,,,,,,
2430,14410,X-,CMWA,AHY,F,La Caoba A,13-Nov-07,,,,,,
2430,14411,X-,CMWA,HY,F,La Caoba A,13-Nov-07,,,,,,
2430,14416,X-,CMWA,AHY,M,La Caoba A,13-Nov-07,,,,,,
2430,14418,X-,CMWA,AHY,F,La Caoba A,13-Nov-07,,,,,,
2430,14428,X-,CMWA,HY,F,La Caoba A,15-Nov-07,,,,,,
2430,14473,X-,CMWA,AHY,F,La Caoba,9-Jan-08,,,,,,
2430,14475,X-,CMWA,HY,F,La Caoba,10-Jan-08,,,,,,
2430,14481,X-,CMWA,HY,F,La Caoba A,11-Jan-08,,,,,,
2430,14482,X-,CMWA,HY,F,La Caoba A,11-Jan-08,,,,,,
2430,14483,X-,CMWA,AHY,M,La Caoba A,11-Jan-08,,,,,,
2430,14485,X-,CMWA,HY,F,La Caoba A,12-Jan-08,,,,,,
2430,14486,X-,CMWA,HY,F,La Caoba A,12-Jan-08,,,,,,
2430,14487,X-,CMWA,AHY,M,La Caoba A,12-Jan-08,,,,,,
2430,14489,X-,CMWA,HY,F,La Caoba A,13-Jan-08,,,,,,
