# Mencia pasture succession bird captures 2004-2005 Dominican Republic,,,,,,,,,,,,,
"# Original file received from Steve Latta via email 12/2017 ""2004-05 All Captures.xls""",,,,,,,,,,,,,
"# See additional file ""All Mencia B.xls"" for information on site persistance ",,,,,,,,,,,,,
# Files processed by Nathan Brouwer in R for re-submission of manuscript 1/15/2018,,,,,,,,,,,,,
"#""NOTES"" columns contains ""DIED"" ""MITES"" and also numbers; not sure what numbers are",,,,,,,,,,,,,
BAND PRE,BAND SUF,COLORS,SPECIES,AGE,SEX,SITE,DATE,WING,TARSUS,MASS,FAT,PEC,NOTES
2250,78466,XR-RR,BTBW,AHY,M,El Corral A,23-Nov-04,64,18.6,9.3,0,1,
2220,95980,XR-WW,BTBW,HY,M,El Corral,18-Jan-05,64,19.3,9.1,0,2,
2220,95981,XY-WR,BTBW,HY,F,El Corral,18-Jan-05,59,18.6,8.3,0,2,
2220,95982,XW-BR,BTBW,HY,F,El Corral,18-Jan-05,62,17.8,9.6,2,1,
2220,95986,XY-YB,BTBW,HY,M,El Corral A,19-Jan-05,69,17.9,8.1,1,1,
2220,95990,XY-RB,BTBW,HY,F,El Corral A,20-Jan-05,59.5,18.5,8.2,0,0,
2220,95991,BW-XR,BTBW,HY,M,El Corral A,20-Jan-05,63.5,19.8,9.5,0,2,
2220,95991,BW-XR,BTBW,HY,M,El Corral A,20-Feb-05,63.5,20,9,0,0,
2220,95994,XY-RW,BTBW,AHY,F,El Corral A,20-Jan-05,61.5,19.1,8.6,1,1,
2220,95996,XY-RR,BTBW,AHY,F,El Corral A,21-Jan-05,60,18.3,,2,1,
,412,WW-RX,CMWA,AHY,M,El Corral A,19-Feb-05,70.5,18,9.2,0,1,
2250,78462,WW-WX,CMWA,AHY,M,El Corral A,23-Nov-04,69,18.6,9.7,0,2,
2220,95995,WX-BR,CMWA,AHY,M,El Corral A,20-Jan-05,67,17.7,9.7,3,2,
1791,50631,X-,GABU,AHY,M,El Corral A,23-Nov-04,76,21.6,22.6,,,10.5
1791,50668,X-,GABU,SY,M,El Corral,22-Nov-04,71.5,21.4,,,,10.3
1791,50668,X-,GABU,SY,M,El Corral A,19-Jan-05,72.5,21.4,20,,,10.3
1791,50732,X-,GABU,AHY,M,El Corral,20-Nov-04,75,22.2,24.2,,,10.4
1791,50733,X-,GABU,HY,,El Corral,21-Nov-04,66.5,19.2,18.9,,,8.4
1791,50734,X-,GABU,HY,,El Corral,21-Nov-04,69,18.8,15.5,,,8.3
1791,50735,X-,GABU,AHY,M,El Corral,21-Nov-04,77,21.9,25.6,,,10.8
1791,50735,X-,GABU,AHY,M,El Corral,18-Jan-05,77,21.9,24.4,,,10.8
1791,50735,X-,GABU,AHY,M,El Corral,16-Feb-05,77,21.9,21.3,,,10.8
1791,50736,X-,GABU,AHY,M,El Corral A,23-Nov-04,73.5,21.2,23.9,,,11.3
1791,50736,X-,GABU,AHY,M,El Corral,17-Feb-05,74,21.3,22,,,11.3
1791,50737,X-,GABU,AHY,M,El Corral A,23-Nov-04,74,20.9,24.3,,,10.5
1791,50738,X-,GABU,HY,,El Corral A,23-Nov-04,69,20.2,21.5,,,9.5
1791,50739,X-,GABU,HY,,El Corral A,23-Nov-04,74,20.2,23.5,,,10.6
1791,50739,X-,GABU,HY,M,El Corral,18-Feb-05,74.5,20.3,21.4,,,10.7
1791,50740,X-,GABU,AHY,F,El Corral A,23-Nov-04,68,20.3,20.1,,,9.4
1791,50741,X-,GABU,HY,,El Corral A,23-Nov-04,70,21.1,24.4,,,9.4
1791,50774,X-,GABU,AHY,F,El Corral,17-Jan-05,70.5,19.9,19.9,,,9.6
1791,50775,X-,GABU,AHY,F,El Corral A,19-Jan-05,69.5,20.1,20.1,,,8.8
1791,50777,X-,GABU,HY,,El Corral A,21-Jan-05,68,21.7,17.6,,,9.1
1791,50800,X-,GABU,HY,,El Corral,17-Feb-05,71,21.4,20.4,,,10.3
1791,50801,X-,GABU,HY,,El Corral,18-Feb-05,68.5,20.4,18.5,,,9.3
1781,50349,X-,GRAK,AHY,,El Corral,18-Jan-05,113.5,17.4,41.3,,,
3A,211,BB-XR,GRWA,SY,,El Corral A,18-Feb-05,61.5,20.3,11.6,,,
3A,219,XY-RB,GRWA,SY,,El Corral,17-Feb-05,63.5,21,12.5,,,
3A,245,XW-YY,GRWA,AHY,,El Corral,20-Nov-04,58.5,20.9,12.6,,,
3A,246,YW-YX,GRWA,AHY,,El Corral A,23-Nov-04,64,22,12.4,,,
3A,246,YW-YX,GRWA,AHY,,El Corral A,20-Jan-05,64.5,22,12.2,,,
3A,252,XR-BR,GRWA,AHY,,El Corral,18-Jan-05,65,,12.3,,,MITES
3A,253,XY-WB,GRWA,HY,,El Corral,18-Jan-05,60,21.1,12.9,,,
3A,254,YX-BR,GRWA,HY,,El Corral,19-Jan-05,56,20.3,11.3,,,
3A,255,XR-WB,GRWA,HY,,El Corral A,19-Jan-05,61.5,21.8,14.3,,,
3A,256,YX-BW,GRWA,AHY,,El Corral A,20-Jan-05,63.5,20.6,12.1,,,
3A,257,BW-XY,GRWA,AHY,,El Corral A,21-Jan-05,59,21.3,12.2,,,
3A,257,BW-XY,GRWA,AHY,,El Corral A,19-Feb-05,59,21.5,11.6,,,
3A,261,XW-BY,GRWA,HY,,El Corral,17-Feb-05,60.5,21.3,12.4,,,
3A,262,YR-XY,GRWA,HY,,El Corral A,19-Feb-05,57,20.7,12,,,
3A,263,XY-RY,GRWA,AHY,,El Corral A,19-Feb-05,61.5,21.1,13.1,,,
3A,264,WW-XR,GRWA,HY,,El Corral A,19-Feb-05,58,21.3,12.1,,,
3A,258,XR-BW,HIPE,AHY,,El Corral A,21-Jan-05,67.5,15,9.4,,,
8A,24,X-,HLCU,SY,,El Corral,21-Nov-04,142,38.7,115,,,
8A,26,X-,HLCU,AHY,,El Corral,20-Nov-04,130,36.5,89.4,,,
8A,27,X-,HLCU,AHY,,El Corral A,22-Nov-04,137,37.1,93.7,,,
8A,28,X-,HLCU,AHY,,El Corral A,23-Nov-04,135,38,90.6,,,
8A,29,X-,HLCU,AHY,,El Corral A,23-Nov-04,136,36.1,122.3,,,
8A,33,X-,HLCU,AHY,,El Corral,18-Jan-05,139,36.8,105.6,,,
8A,34,X-,HLCU,AHY,,El Corral,19-Jan-05,130,36.1,85.8,,,
8A,35,X-,HLCU,AHY,,El Corral A,21-Jan-05,135,36.4,96.7,,,
8A,40,X-,HLCU,AHY,,El Corral A,19-Feb-05,126,34.2,81.6,,,
8A,20,X-,KWQD,SY,,El Corral,18-Feb-05,152.5,29.3,163,,,
8A,39,X-,KWQD,AHY,,El Corral A,18-Feb-05,160.5,30.4,173,,,
1202,29690,X-,MACU,AHY,,El Corral A,19-Feb-05,127,29.6,89.2,,,
