"spp.code","band","colors","age","sex","site","date.cap.orig","nov.96","jan.97","mar.97","nov.97","jan.98","mar.98","jan.99","jan.00","jan.01","jan.02","jan.03","comments","data.cap.orig2","status.focals","spp","status2","hab1","diet","sub.site"
"AMRE","2390-24046","RX-BR","AHY","F","Aceitillar","23-Jan-93","","C","","S","","S","","","","","","",1993-01-23,"mig","American Redstart","M","EF","I","B1"
"AMRE","1760-22667","YX-GY","AHY","F","Aceitillar","16-Jan-94","","","","","C","","","","","","","W",1994-01-16,"mig","American Redstart","M","EF","I","B2"
"AMRE","2110-81081","X-","HY","M","Aceitillar","31-Jan-97","","","","","","","","","C","","","W",1997-01-31,"mig","American Redstart","M","EF","I","B2"
"AMRE","2390-24345","PY-XP","AHY","F","Aceitillar","10-Mar-93","","","C","","","","","","","","","W",1993-03-10,"mig","American Redstart","M","EF","I","B1"
"AMRE","2390-24332","XB-RR","HY","F","Aceitillar","5-Mar-93","","","CS","S","S","S","","","","","","",1993-03-05,"mig","American Redstart","M","EF","I","B2"
"AMRE","2110-80894","GA-GX","HY","F","Aceitillar","10-Nov-93","","","","C","","","","","","","","W",1993-11-10,"mig","American Redstart","M","EF","I","B2"
"AMRE","2110-80898","XY-RA","AHY","F","Aceitillar","11-Nov-93","","","","CS","S","S","","","","","","",1993-11-11,"mig","American Redstart","M","EF","I","B1"
"AMRE","2110-81031","RX-YW","HY","M","Aceitillar","28-Jan-95","","","","","","","C","","","","","W",1995-01-28,"mig","American Redstart","M","EF","I","B2"
"AMRE","2110-81085","X-","AHY","F","Aceitillar","1-Feb-97","","","","","","","","","C","","","W",1997-02-01,"mig","American Redstart","M","EF","I","B2"
"AMRE","2390-24038","XR-YP","HY","F","Aceitillar","20-Jan-93","","C","","","","","","","","","","W",1993-01-20,"mig","American Redstart","M","EF","I","B2"
"AMRE","2110-80895","AG-AX","HY","F","Aceitillar","10-Nov-93","","","","C","","","","","","","","W",1993-11-10,"mig","American Redstart","M","EF","I","B2"
"AMRE","2110-80988","YA-YX","AHY","F","Aceitillar","8-Mar-94","","","","","","CS","","","","","","",1994-03-08,"mig","American Redstart","M","EF","I","B2"
"AMRE","2110-81030","GX-RW","HY","M","Aceitillar","27-Jan-95","","","","","","","C","","","","","W",1995-01-27,"mig","American Redstart","M","EF","I","B2"
"AMRE","2140-19006","YX-YW","HY","M","Aceitillar","17-Jan-95","","","","","","","C","","","","","W",1995-01-17,"mig","American Redstart","M","EF","I","B1"
"AMRE","2110-80985","YA-RX","HY","M","Aceitillar","3-Mar-94","","","","","","C","","","","","","W",1994-03-03,"mig","American Redstart","M","EF","I","B1"
"AMRE","2110-81034","X-","AHY","M","Aceitillar","23-Jan-96","","","","","","","","C","","","","W",1996-01-23,"mig","American Redstart","M","EF","I","B2"
