# Aceitillar data for Mencia pasture succesion manuscript,,,,,,,,,,,,,,,,,,
"# Original file ""Aceitillar 96_02 for Mencia.xls"" from SL via email",,,,,,,,,,,,,,,,,,
"# Original file had 3 worksheets: ""Returned migr"", ""Site persistent migr"" and ""All caps""",,,,,,,,,,,,,,,,,,
#,"Note: original worksheets with ""_migr"" included residents and migrants",,,,,,,,,,,,,,,,,
"# ""Site persistent birds are there for some portion of at least 1 winter – so they were resighted or recaptured at least once.""",,,,,,,,,,,,,,,,,,
"# ""Returned birds are a **subset** of the **site persistent birds** that returned a **subsequent** year.",,,,,,,,,,,,,,,,,,
# All caps is all captures.,,,,,,,,,,,,,,,,,,
"# C = captured (including orig capture); S = re_sighted, CS = captured & resighted in same session; W in comments = NEVER resighted/recaptured after original capture",,,,,,,,,,,,,,,,,,
# W = wanderers,,,,,,,,,,,,,,,,,,
#,,,,,,,Nov,Jan,Mar,Nov,Jan,Mar,Jan,Jan,Jan,Jan,Jan,
#,,,,,,CAP,96,97,97,97,98,98,99,0,1,2,3,
BAND,COLORS,SPECIES,AGE,SEX,SITE,DATA.CAP.ORIG,Nov.96,Jan.97,Mar.97,Nov.97,Jan.98,Mar.98,Jan.99,Jan.00,Jan.01,Jan.02,Jan.03,COMMENTS
1521_02581,X-,GABU,AHY,M,B2,1_18_1998,,,,,C,,,,,,,
1521_02583,X-,GABU,AHY,F,B1,1_21_1998,,,,,C,,,,,,,
1521_02586,X-,GABU,AHY,F,B1,1_22_1998,,,,,C,,,,,,,
1521_02590,X-,GABU,AHY,F,B1,1_22_1998,,,,,C,,,,,,,
1521_02591,X-,GABU,AHY,F,B1,1_22_1998,,,,,C,,,,,,,
1521_02592,X-,GABU,AHY,F,B1,1_22_1998,,,,,C,,,,,,,
1521_02594,X-,GABU,AHY,F,B1,1_22_1998,,,,,C,,,,,,,
1521_02588,X-,GABU,AHY,M,B1,1_22_1998,,,,,C,,,,,,,
1591_44103,X-,GABU,AHY,M,B1,1_23_1998,,,,,C,C,C,,,,,
1591_44138,X-,GABU,AHY,M,B1,3_4_1998,,,,,,C,,C,,,,
1591_44139,X-,GABU,AHY,M,B1,3_4_1998,,,,,,C,,,,,,
1591_44140,X-,GABU,AHY,M,B1,3_4_1998,,,,,,C,,,,,,
1591_44142,X-,GABU,AHY,M,B1,3_4_1998,,,,,,C,,,,,,
1591_44144,X-,GABU,AHY,F,B1,3_5_1998,,,,,,C,,,,,,
1591_44145,X-,GABU,AHY,F,B1,3_5_1998,,,,,,C,,,,,,
1591_44147,X-,GABU,AHY,F,B2,3_8_1998,,,,,,C,,,,,,
1591_44148,X-,GABU,AHY,M,B2,3_8_1998,,,,,,C,,,,,,
1591_44151,X-,GABU,AHY,F,B2,3_9_1998,,,,,,C,,,,,,
1591_44154,X-,GABU,AHY,F,B2,3_9_1998,,,,,,C,,,,,,
1591_44150,X-,GABU,AHY,M,B2,3_9_1998,,,,,,C,,,,,,
1591_44153,X-,GABU,AHY,M,B2,3_9_1998,,,,,,C,,,,,,
1591_44158,X-,GABU,AHY,M,B2,3_10_1998,,,,,,C,,,C,,,
1591_44200,X-,GABU,AHY,F,B1,1_17_1999,,,,,,,C,,,,,
1591_44199,X-,GABU,AHY,M,B1,1_17_1999,,,,,,,C,,,,,
1591_44204,X-,GABU,AHY,M,B1,1_17_1999,,,,,,,C,,,,,
1591_44210,X-,GABU,AHY,M,B1,1_18_1999,,,,,,,C,,,,,
1591_44212,X-,GABU,AHY,M,B1,1_19_1999,,,,,,,C,,,,,
1591_44246,X-,GABU,AHY,F,B2,1_28_1999,,,,,,,C,,,,,
1591_44243,X-,GABU,AHY,M,B2,1_28_1999,,,,,,,C,,,,,
1591_44247,X-,GABU,AHY,M,B2,1_28_1999,,,,,,,C,,,,,
1591_44251,X-,GABU,AHY,F,B2,1_29_1999,,,,,,,C,,,,,
1591_44252,X-,GABU,AHY,F,B2,1_29_1999,,,,,,,C,,,,,
1591_44250,X-,GABU,AHY,M,B2,1_29_1999,,,,,,,C,,,,,
1591_44255,X-,GABU,AHY,M,B2,1_29_1999,,,,,,,C,C,C,,,
1591_44257,X-,GABU,AHY,M,B2,1_29_1999,,,,,,,C,,,,,
1591_44260,X-,GABU,AHY,F,B2,1_30_1999,,,,,,,C,,,,,
1591_44259,X-,GABU,AHY,M,B2,1_30_1999,,,,,,,C,,,,,
1591_44269,X-,GABU,AHY,M,B2,1_24_2000,,,,,,,,C,,,,
1591_44273,X-,GABU,AHY,M,B2,1_24_2000,,,,,,,,C,,,,
1591_44280,X-,GABU,AHY,F,B1,1_25_2000,,,,,,,,C,,,,
1591_44284,X-,GABU,AHY,M,B1,1_25_2000,,,,,,,,C,,,,
1591_44294,X-,GABU,AHY,F,B1,1_26_2000,,,,,,,,C,,,,
1591_44287,X-,GABU,AHY,M,B1,1_26_2000,,,,,,,,C,,,,
1591_44289,X-,GABU,AHY,M,B1,1_26_2000,,,,,,,,C,,,,
1591_44297,X-,GABU,AHY,F,B1,1_27_2000,,,,,,,,C,,,,
1591_82631,X-,GABU,AHY,F,B2,2_1_2001,,,,,,,,,C,,,
1591_82635,X-,GABU,AHY,F,B2,2_1_2001,,,,,,,,,C,,,
1591_82638,X-,GABU,AHY,F,B2,2_1_2001,,,,,,,,,C,,,
1591_82639,X-,GABU,AHY,M,B2,2_1_2001,,,,,,,,,C,,,
1591_82651,X-,GABU,AHY,F,B1,2_3_2001,,,,,,,,,C,,,
1591_82656,X-,GABU,AHY,F,B1,2_4_2001,,,,,,,,,C,,,
1591_82657,X-,GABU,AHY,M,B1,2_4_2001,,,,,,,,,C,,,
1511_43407,X-(Y),GABU,HY,M,B2,11_14_1996,CS,,,,S,,C,,,,,
1511_43417,YB-XB,GABU,HY,,B2,11_16_1996,CS,,,,,,,,,,,
1511_43418,XB-RB,GABU,HY,,B2,11_16_1996,C,,,,,,,,,,,
1511_43419,XB-RY,GABU,HY,,B2,11_16_1996,C,,,,,,,,,,,
1511_43424,X,GABU,HY,,B1,11_20_1996,C,C,,,,,,,,,,
1511_43428,X-,GABU,HY,,B1,11_20_1996,CC,,,,,,,,,,,
1511_43430,X-,GABU,HY,,B1,11_20_1996,C,,,,,,,,,,,
1511_43431,X-,GABU,HY,,B1,11_20_1996,C,,,,,,,,,,,
1511_43435,X-,GABU,HY,,B1,11_20_1996,C,C,,,,,,,,,,
1511_43438,X-,GABU,HY,,B1,11_20_1996,C,,,,,,,,,,,
1511_43440,X-,GABU,HY,,B1,11_21_1996,C,,,,,,,,,,,
1511_43442,X-,GABU,HY,,B1,11_21_1996,C,,,,,,,,,,,
1591_44018,X-,GABU,HY,F,B2,1_20_1997,,CC,,,,C,,,,,,
1591_44005,X-,GABU,HY,,B2,1_20_1997,,C,,,,,,,,,,
1591_44006,X-,GABU,HY,,B2,1_20_1997,,C,,,,,,,,,,
1591_44007,X-,GABU,HY,,B2,1_20_1997,,C,,,,,,,,,,
1591_44008,X-,GABU,HY,,B2,1_20_1997,,C,,,,,,,,,,
1591_44009,X-,GABU,HY,,B2,1_20_1997,,C,,,,,,,,,,
1591_44010,X-,GABU,HY,,B2,1_20_1997,,C,,,,,,,,,,
1591_44011,X-,GABU,HY,,B2,1_20_1997,,C,,,,,,,,,,
1591_44012,X-,GABU,HY,,B2,1_20_1997,,C,,,,,,,,,,
1591_44014,X-,GABU,HY,,B2,1_20_1997,,C,,,,,,,,,,
1591_44016,X-,GABU,HY,,B2,1_20_1997,,C,,,,,,,,,,
1591_44017,X-,GABU,HY,,B2,1_20_1997,,C,,,,,,,,,,
1591_44020,X-,GABU,HY,,B2,1_20_1997,,C,,,,,,,,,,
1591_44021,X-,GABU,HY,,B2,1_20_1997,,C,,,,,,,,,,
1591_44023,X-,GABU,HY,,B2,1_20_1997,,C,,,,,,,,,,
1591_44024,X-,GABU,HY,M,B2,1_21_1997,,C,,,,,,,,,,
1591_44025,X-,GABU,HY,,B2,1_21_1997,,C,,,,,,,,,,
1591_44028,X-,GABU,HY,,B2,1_21_1997,,C,,,,C,,,,,,
1591_44029,X-,GABU,HY,,B2,1_21_1997,,C,,,,,,,,,,
1591_44031,X-,GABU,HY,,B2,1_21_1997,,C,,,,,,,,,,
1591_44033,X-,GABU,HY,,B2,1_21_1997,,C,,,,,,,,,,
1591_44038,X-,GABU,HY,,B1,1_24_1997,,C,,,,,,,,,,
1591_44039,X-,GABU,HY,,B1,1_25_1997,,C,,,,,,,,,,
1591_44041,X-,GABU,HY,,B1,1_25_1997,,C,,,,,,,,,,
1591_44042,X-,GABU,HY,,B1,1_25_1997,,C,,,,,,,,,,
1591_44044,X-,GABU,HY,,B1,1_25_1997,,C,,,,,,,,,,
1591_44045,X-,GABU,HY,,B1,1_25_1997,,C,,,,,,,,,,
1591_44046,X-,GABU,HY,,B1,1_25_1997,,C,,,,,,,,,,
1591_44048,X-,GABU,HY,,B1,1_25_1997,,C,,,,,,,,,,
1591_44049,X-,GABU,HY,,B1,1_25_1997,,C,,,,,,,,,,
1591_44050,X-,GABU,HY,,B1,1_25_1997,,C,,,,,,,,,,
1591_44052,X-,GABU,HY,,B1,1_25_1997,,C,,,,,,,,,,
1591_44054,X-,GABU,HY,,B1,1_26_1997,,C,,,,,,,,,,
1591_44055,X-,GABU,HY,,B1,1_26_1997,,C,,,,,,,,,,
1591_43825,X-,GABU,HY,,B2,3_5_1997,,,C,,,,,,,,,
1591_43826,X-,GABU,HY,,B2,3_5_1997,,,C,,,,,,,,,
1591_43828,X-,GABU,HY,,B2,3_5_1997,,,C,,,,,,,,,
1591_43829,X-,GABU,HY,,B2,3_5_1997,,,CC,,,,,,,,,
1591_43836,X-,GABU,HY,,B2,3_5_1997,,,C,,,,,,,,,
981_31223,X-,GABU,HY,F,B2,3_6_1997,,,C,,,,,,,,,
1591_43839,X-,GABU,HY,,B2,3_6_1997,,,C,,,,,,,,,
1591_43842,X-,GABU,HY,,B2,3_6_1997,,,C,,,,,,,,,
1591_43844,X-,GABU,HY,,B2,3_6_1997,,,C,,,,,,,,,
1591_43845,X-,GABU,HY,,B2,3_6_1997,,,C,,,,,,,,,
1591_43846,X-,GABU,HY,,B2,3_6_1997,,,C,,,,,,,,,
1591_43847,X-,GABU,HY,,B2,3_6_1997,,,C,,,,,,,,,
1591_43848,X-,GABU,HY,,B2,3_6_1997,,,C,,,,,,,,,
1591_43854,X-,GABU,HY,,B2,3_6_1997,,,C,,,,,,,,,
1591_43856,X-,GABU,HY,F,B2,3_7_1997,,,C,,,,,,,,,
1591_43866,X-,GABU,HY,M,B1,3_10_1997,,,C,,,,,,,,,
1591_43874,X-,GABU,HY,F,B1,3_11_1997,,,C,,,,,,,,,
1591_43875,X-,GABU,HY,F,B1,3_11_1997,,,C,,,,,,,,,
1591_43876,X-,GABU,HY,F,B1,3_11_1997,,,CC,C,,,,,,,,
1591_43870,X-,GABU,HY,,B1,3_11_1997,,,C,,,,,,,,,
1591_43937,X-,GABU,HY,,B2,11_9_1997,,,,C,,,,,,,,
1591_43938,X-,GABU,HY,,B2,11_9_1997,,,,C,,,,,,,,
1591_43939,X-,GABU,HY,,B2,11_9_1997,,,,C,,,,,,,,
1591_43941,X-,GABU,HY,,B2,11_9_1997,,,,C,,,,,,,,
4_4924,X-,GABU,HY,,B2,11_9_1997,,,,CC,,,,,,,,
1591_43954,X-,GABU,HY,F,B2,11_10_1997,,,,C,,,C,,,,,
1591_43953,X-,GABU,HY,,B2,11_10_1997,,,,C,,,,,,,,
1591_43964,X-,GABU,HY,F,B1,11_11_1997,,,,C,,C,C,,,,,
1591_43963,X-,GABU,HY,,B1,11_11_1997,,,,C,,,,,,,,
1591_43965,X-,GABU,HY,,B1,11_11_1997,,,,C,,,,,,,,
1591_43960,X-,GABU,HY,,B2,11_11_1997,,,,C,,,,,,,,
1591_43972,X-,GABU,HY,,B1,11_12_1997,,,,C,,,,,,,,
1591_43973,X-,GABU,HY,,B1,11_12_1997,,,,C,C,,,,,,,
1591_43977,X-,GABU,HY,,B1,11_13_1997,,,,C,,,,,,,,
1521_02554,X-,GABU,HY,M,B2,1_16_1998,,,,,C,C,,,,,,
1521_02556,X-,GABU,HY,,B2,1_16_1998,,,,,C,,,,,,,
1521_02557,X-,GABU,HY,,B2,1_16_1998,,,,,C,,,,,,,
1521_02558,X-,GABU,HY,,B2,1_16_1998,,,,,C,,,,,,,
1521_02559,X-,GABU,HY,,B2,1_16_1998,,,,,C,,,,,,,
1521_02568,X-,GABU,HY,F,B2,1_17_1998,,,,,C,,C,,,,,
1521_02573,X-,GABU,HY,F,B2,1_17_1998,,,,,C,,C,,,,,
1521_02560,X-,GABU,HY,,B2,1_17_1998,,,,,C,,,,,,,
1521_02562,X-,GABU,HY,,B2,1_17_1998,,,,,C,,,,,,,
1521_02567,X-,GABU,HY,,B2,1_17_1998,,,,,C,,,,,,,
1521_02575,X-,GABU,HY,,B2,1_17_1998,,,,,C,,,,,,,
1521_02580,X-,GABU,HY,,B2,1_18_1998,,,,,C,,,,,,,
1521_02582,X-,GABU,HY,,B2,1_18_1998,,,,,C,,,,,,,
1521_02585,X-,GABU,HY,,B1,1_21_1998,,,,,C,,,,,,,
1521_02587,X-,GABU,HY,M,B1,1_22_1998,,,,,C,,,,,,,
1521_02593,X-,GABU,HY,,B1,1_22_1998,,,,,C,,,,,,,
1521_02595,X-,GABU,HY,,B1,1_22_1998,,,,,C,,,,,,,
1521_02596,X-,GABU,HY,,B1,1_22_1998,,,,,C,,,,,,,
1521_02597,X-,GABU,HY,,B1,1_22_1998,,,,,C,,,,,,,
1521_02599,X-,GABU,HY,,B1,1_22_1998,,,,,C,,,,,,,
1591_44143,X-,GABU,HY,,B1,3_4_1998,,,,,,C,,,,,,
1591_44146,X-,GABU,HY,F,B1,3_5_1998,,,,,,C,C,,,,,
1591_44152,X-,GABU,HY,M,B2,3_9_1998,,,,,,C,C,,,,,
1591_44156,X-,GABU,HY,M,B2,3_9_1998,,,,,,C,,,,,,
1591_44155,X-,GABU,HY,,B2,3_9_1998,,,,,,C,,,,,,
1591_44157,X-,GABU,HY,,B2,3_10_1998,,,,,,C,,,,,,
1591_44159,X-,GABU,HY,,B2,3_10_1998,,,,,,C,,,,,,
1591_44160,X-,GABU,HY,,B2,3_10_1998,,,,,,C,,,,,,
1591_44201,X-,GABU,HY,F,B1,1_17_1999,,,,,,,C,,,,,
1591_44202,X-,GABU,HY,,B1,1_17_1999,,,,,,,C,,,,,
1591_44203,X-,GABU,HY,,B1,1_17_1999,,,,,,,C,,,,,
1591_44205,X-,GABU,HY,,B1,1_17_1999,,,,,,,C,,,,,
1591_44206,X-,GABU,HY,M,B1,1_18_1999,,,,,,,C,,C,,,
1591_44207,X-,GABU,HY,,B1,1_18_1999,,,,,,,C,,,,,
1591_44208,X-,GABU,HY,,B1,1_18_1999,,,,,,,C,,,,,
1591_44209,X-,GABU,HY,,B1,1_18_1999,,,,,,,C,,,,,
1591_44211,X-,GABU,HY,,B1,1_18_1999,,,,,,,C,,,,,
1591_44213,X-,GABU,HY,,B1,1_19_1999,,,,,,,C,,,,,
1591_44214,X-,GABU,HY,,B1,1_19_1999,,,,,,,C,,,,,
1591_44215,X-,GABU,HY,,B1,1_19_1999,,,,,,,C,,,,,
1591_44216,X-,GABU,HY,,B1,1_19_1999,,,,,,,C,,,,,
1591_44241,X-,GABU,HY,,B2,1_28_1999,,,,,,,C,,,,,
1591_44242,X-,GABU,HY,,B2,1_28_1999,,,,,,,C,,,,,
1591_44244,X-,GABU,HY,,B2,1_28_1999,,,,,,,C,,,,,
1591_44245,X-,GABU,HY,,B2,1_28_1999,,,,,,,C,,,,,
1591_44248,X-,GABU,HY,,B2,1_28_1999,,,,,,,C,,,,,
1591_44249,X-,GABU,HY,,B2,1_28_1999,,,,,,,C,,,,,
1591_44253,X-,GABU,HY,,B2,1_29_1999,,,,,,,C,,,,,
1591_44256,X-,GABU,HY,,B2,1_29_1999,,,,,,,C,,,,,
1591_44258,X-,GABU,HY,,B2,1_29_1999,,,,,,,C,,,,,
1591_44266,X-,GABU,HY,F,B2,1_23_2000,,,,,,,,C,,,,
1591_44267,X-,GABU,HY,F,B2,1_23_2000,,,,,,,,C,,,,
1591_44268,X-,GABU,HY,F,B2,1_23_2000,,,,,,,,C,,,,
1591_44272,X-,GABU,HY,F,B2,1_24_2000,,,,,,,,C,,,,
1591_44275,X-,GABU,HY,F,B2,1_24_2000,,,,,,,,C,,,,
1591_44276,X-,GABU,HY,F,B2,1_24_2000,,,,,,,,C,,,,
1591_44270,X-,GABU,HY,M,B2,1_24_2000,,,,,,,,C,,,,
1591_44271,X-,GABU,HY,M,B2,1_24_2000,,,,,,,,C,,,,
1591_44274,X-,GABU,HY,M,B2,1_24_2000,,,,,,,,C,,,,
1591_44277,X-,GABU,HY,M,B2,1_24_2000,,,,,,,,C,,,,
1591_44281,X-,GABU,HY,M,B1,1_25_2000,,,,,,,,C,,,,
1591_44282,X-,GABU,HY,M,B1,1_25_2000,,,,,,,,C,,,,
1591_44283,X-,GABU,HY,M,B1,1_25_2000,,,,,,,,C,,,,
1591_44278,X-,GABU,HY,M,B2,1_25_2000,,,,,,,,C,,,,
1591_44279,X-,GABU,HY,,B2,1_25_2000,,,,,,,,C,,,,
1591_44285,X-,GABU,HY,F,B1,1_26_2000,,,,,,,,C,,C,,
1591_44286,X-,GABU,HY,F,B1,1_26_2000,,,,,,,,C,,,,
1591_44288,X-,GABU,HY,F,B1,1_26_2000,,,,,,,,C,,,,
1591_44293,X-,GABU,HY,F,B1,1_26_2000,,,,,,,,C,,,,
1591_44290,X-,GABU,HY,,B1,1_26_2000,,,,,,,,C,,,,
1591_44292,X-,GABU,HY,,B1,1_26_2000,,,,,,,,C,,,,
1591_44295,X-,GABU,HY,M,B1,1_27_2000,,,,,,,,C,,,,
1591_44296,X-,GABU,HY,M,B1,1_27_2000,,,,,,,,C,,,,
1591_44298,X-,GABU,HY,,B1,1_27_2000,,,,,,,,C,,,,
1591_82630,X-,GABU,HY,F,B2,1_31_2001,,,,,,,,,C,,,
1591_82632,X-,GABU,HY,F,B2,2_1_2001,,,,,,,,,C,,,
1591_82641,X-,GABU,HY,F,B2,2_1_2001,,,,,,,,,C,,,
1591_82642,X-,GABU,HY,F,B2,2_1_2001,,,,,,,,,C,,,
1591_82643,X-,GABU,HY,F,B2,2_1_2001,,,,,,,,,C,,,
1591_82644,X-,GABU,HY,F,B2,2_1_2001,,,,,,,,,C,,,
1591_82645,X-,GABU,HY,F,B2,2_1_2001,,,,,,,,,C,,,
1591_82636,X-,GABU,HY,M,B2,2_1_2001,,,,,,,,,C,,,
1591_82637,X-,GABU,HY,M,B2,2_1_2001,,,,,,,,,C,,,
1591_82633,X-,GABU,HY,,B2,2_1_2001,,,,,,,,,C,,,
4_4836,x-,GABU,HY,F,B1,2_2_2001,,,,,,,,,C,,,
4_4837,x-,GABU,HY,F,B1,2_2_2001,,,,,,,,,C,,,
4_4838,x-,GABU,HY,F,B1,2_2_2001,,,,,,,,,C,,,
1591_82647,X-,GABU,HY,F,B2,2_2_2001,,,,,,,,,C,C,,
1591_82648,X-,GABU,HY,F,B2,2_2_2001,,,,,,,,,C,,,
1591_82649,X-,GABU,HY,F,B2,2_2_2001,,,,,,,,,C,,,
1591_82650,X-,GABU,HY,M,B1,2_2_2001,,,,,,,,,C,,,
1591_82646,X-,GABU,HY,M,B2,2_2_2001,,,,,,,,,C,,,
1591_82652,X-,GABU,HY,F,B1,2_3_2001,,,,,,,,,C,,,
1591_82654,X-,GABU,HY,F,B1,2_3_2001,,,,,,,,,C,,,
1591_82655,X-,GABU,HY,F,B1,2_4_2001,,,,,,,,,C,,,
1511_43404,RR-XR,GABU,,,B2,11_14_1996,CS,,,,,,,,,,,
1511_43410,X-R,GABU,,,B2,11_15_1996,C,,,,,,,,,,,
1591_44002,X-,GABU,,,B2,1_19_1997,,C,,,,,,,,,,
2140_20702,YR-XB,GAPE,,,B2,1_23_2000,,,,,,,,C,,,,
2390_24037,XY-P(Y),GREP,AHY,,B2,1_21_1997,,C,,,C,S,,,,,,
2390_24327,X-R,GREP,AHY,,B2,3_5_1997,,,C,,,,,,,,,mites
1950_82013,X-(G),GREP,,,B1,11_19_1996,C,,,,,,C,,,,,
1950_82039,X-R,GREP,,,B1,11_20_1996,C,,,,,,,,,,,
1950_82041,X-Y,GREP,,,B1,11_20_1996,C,,,,,,,,,,,
2390_24326,YB-XP,GREP,,,B2,3_5_1997,,,C,,,,,,,,,
1760_22660,YR-XG,GREP,,,B2,1_16_1998,,,,,CS,,,,,,,
1760_22673,GY-XY,GREP,,,B1,1_22_1998,,,,,C,,,,,,,
1760_22675,YR-XA,GREP,,,B1,1_22_1998,,,,,C,,,,,,,
1760_22681,AX-RY,GREP,,,B1,1_23_1998,,,,,C,,,,,,,mites
2140_19005,WX-GY,GREP,,,B1,1_18_1999,,,,,,,C,,,,,
2140_20629,YX-WY,GREP,,,B2,1_29_1999,,,,,,,C,,,,,
3A_008,YX-BY,GREP,,,B1,2_3_2001,,,,,,,,,C,,,
3A_010,XY-YR,GREP,,,B1,2_3_2001,,,,,,,,,C,C,,
372,X-A,GRWA,AHY,,B2,11_14_1996,CS,,,,C,,,,C,,,
2_5809,X-R,GRWA,AHY,,B2,11_14_1996,C,,,,,,,,,,,
2_5810,X-P,GRWA,AHY,,B2,11_15_1996,C,CS,C,S,S,S,S,,,,,
2_5812,YR-BX,GRWA,AHY,,B2,11_16_1996,C,,,,,,,C,,C,,
2_5815,PX-RR,GRWA,AHY,,B1,11_19_1996,C,CS,C,CS,S,,,,,,,
2_5816,RX-YP,GRWA,AHY,,B1,11_19_1996,C,C,C,S,,,,,,,,
2_5817,X-R,GRWA,AHY,,B1,11_20_1996,CC,C,,,,S,S,,,,,
2_5818,X-GG,GRWA,AHY,,B1,11_20_1996,C,,,,,,,,,,,
2_5820,C-X,GRWA,AHY,,B1,11_20_1996,C,C,S,,,,,,,,,
2_5821,Y-X,GRWA,AHY,,B1,11_20_1996,C,C,C,,,,,,,,,
2_5822,X-B/W,GRWA,AHY,,B1,11_20_1996,C,C,,C,S,C,S,,,,,
2_5823,X-B,GRWA,AHY,,B1,11_20_1996,C,C,,,,S,,,,,,
2_5824,PP-YX,GRWA,AHY,,B1,11_21_1996,C,,,,,,,,,,,
2_5863,YY-PX,GRWA,AHY,,B2,1_19_1997,,C,,,,,S,,,,,
2_5864,PX-YY,GRWA,AHY,,B2,1_19_1997,,C,,,,,S,,,,,
2_5866,RX-RY,GRWA,AHY,,B2,1_20_1997,,C,,,,,,,,,,
2_5867,BX-YY,GRWA,AHY,,B2,1_20_1997,,C,CS,,C,,,,,,,
2_5870,BX-BY,GRWA,AHY,,B1,1_25_1997,,C,,,,CS,S,C,,,,
2_5872,PX-PR,GRWA,AHY,,B1,1_26_1997,,CS,,S,S,S,S,,C,,,
2_5873,YX-YY,GRWA,AHY,,B1,1_26_1997,,C,,S,,S,,,,,,
2_5896,XB-RP,GRWA,AHY,,B2,3_6_1997,,,C,,S,,,,,,,
2_5899,PX-BR,GRWA,AHY,,B1,3_11_1997,,,C,,,,C,,,,,
2_5900,YP-XP,GRWA,AHY,,B1,3_11_1997,,,CS,C,S,C,CS,C,C,,,
2_6921,YR-XG,GRWA,AHY,,B2,11_10_1997,,,,C,,,CS,,,,,
2_6922,GX-YR,GRWA,AHY,,B2,11_10_1997,,,,C,,S,S,,,,,
2_6923,GY-GX,GRWA,AHY,,B1,11_11_1997,,,,C,,,,,,,,
2_6924,YG-RX,GRWA,AHY,,B1,11_11_1997,,,,CC,S,S,S,,C,,,
2_6925,GA-XY,GRWA,AHY,,B1,11_12_1997,,,,C,,,,,,C,,
2_6926,XG-AA,GRWA,AHY,,B1,11_12_1997,,,,C,,,,,,,,
2_6928,YX-RG,GRWA,AHY,,B1,11_13_1997,,,,C,,,,,,,,
2_6949,RX-AY,GRWA,AHY,,B1,1_21_1998,,,,,C,,,,,,,
2_6950,X-G,GRWA,AHY,,B1,1_22_1998,,,,,C,,,,,,,mites
2_6951,RX-YA,GRWA,AHY,,B1,1_22_1998,,,,,C,C,,,,,,choking in Mar 98
2_6952,RY-GX,GRWA,AHY,,B1,1_22_1998,,,,,C,,S,,,C,,
2_6957,YG-XY,GRWA,AHY,,B1,3_4_1998,,,,,,C,S,,,,,
2_6958,AR-RX,GRWA,AHY,,B1,3_4_1998,,,,,,CS,S,C,,S,S,S (2002-03) in nest study
2_5488,RR-XW,GRWA,AHY,,B1,1_18_1999,,,,,,,C,,,,,
2_5496,WW-XY,GRWA,AHY,,B1,1_19_1999,,,,,,,C,C,C,,,
603,RB-YX,GRWA,AHY,,B2,1_24_2000,,,,,,,,C,,,,
2_6896,YA-XR,GRWA,AHY,,B2,1_24_2000,,,,,,,,C,,,,
2_6898,YX-BA,GRWA,AHY,,B2,1_24_2000,,,,,,,,C,,,,
2_6899,YX-AR,GRWA,AHY,,B2,1_24_2000,,,,,,,,C,,S,,S during nest study
2_6900,RY-XB,GRWA,AHY,,B2,1_24_2000,,,,,,,,C,,,,
608,RA-RX,GRWA,AHY,,B2,1_25_2000,,,,,,,,C,,,,
621,YB-AX,GRWA,AHY,,B1,1_26_2000,,,,,,,,C,,S,,S in nest study
626,BR-XY,GRWA,AHY,,B1,1_27_2000,,,,,,,,C,,,,
627,AR-BX,GRWA,AHY,,B1,1_27_2000,,,,,,,,C,,,,
3A_003,PX-RY,GRWA,AHY,,B2,1_31_2001,,,,,,,,,C,S,,S during nest study
3A_005,PX-YP,GRWA,AHY,,B2,2_1_2001,,,,,,,,,C,,,
3A_006,XP-YB,GRWA,AHY,,B1,2_2_2001,,,,,,,,,C,,,
3A_007,YX-BY,GRWA,AHY,,B1,2_3_2001,,,,,,,,,C,C,,
3A_009,YX-YR,GRWA,AHY,,B1,2_3_2001,,,,,,,,,C,,,
3A_011,XP-YY,GRWA,AHY,,B1,2_4_2001,,,,,,,,,C,,,
2_5819,AR-X,GRWA,HY,,B1,11_20_1996,C,C,C,,,,,,,,,
2_5865,BX-RR,GRWA,HY,,B2,1_20_1997,,C,,,,S,,,,,,
2_5868,YX-YP,GRWA,HY,,B1,1_24_1997,,C,,S,,S,S,,,,,
2_5869,RX-YB,GRWA,HY,,B1,1_25_1997,,C,,,,,,,,,,
2_5871,YB-XR,GRWA,HY,,B1,1_26_1997,,C,,,,C,,,,C,,
2_5897,PB-PX,GRWA,HY,,B2,3_6_1997,,,C,,,,,,,,,
2_5898,RX-YR,GRWA,HY,,B1,3_11_1997,,,C,,,S,S,,,,,
2_6927,XG-YY,GRWA,HY,,B1,11_13_1997,,,,C,S,C,,,,,,
2_6929,GG-RX,GRWA,HY,,B1,11_13_1997,,,,C,,,S,C,,,,
2_6948,XY-RG,GRWA,HY,,B2,1_16_1998,,,,,CC,S,,,,,,
2_6959,RX-AG,GRWA,HY,,B1,3_4_1998,,,,,,C,,,,,,
2_5493,RW-GX,GRWA,HY,,B1,1_18_1999,,,,,,,C,C,,S,,S in nest study
2_5494,XY-WR,GRWA,HY,,B1,1_18_1999,,,,,,,C,,,S,,S in nest study
2_6989,XR-WR,GRWA,HY,,B1,1_18_1999,,,,,,,C,,,,,
2_6990,XY-YW,GRWA,HY,,B1,1_18_1999,,,,,,,C,C,,,,
2_6860,YX-WY,GRWA,HY,,B2,1_28_1999,,,,,,,C,,,,,
2_6871,WR-RX,GRWA,HY,,B2,1_29_1999,,,,,,,C,,,,,
2_6872,WG-XW,GRWA,HY,,B2,1_29_1999,,,,,,,C,,,,,
601,RB-XY,GRWA,HY,,B2,1_24_2000,,,,,,,,C,,,,
625,RA-YX,GRWA,HY,,B1,1_27_2000,,,,,,,,C,,,,
